_inventory,_substance,_other_names,_use,_cas,GRAS Notice (GRN) No.,Substance,Intended Use,Basis,Notifier,Notifier Address,Date of filing,GRN Part 1,GRN Part 2,GRN Part 3,GRN Part 4,GRN Part 5,GRN Part 6,GRN Part 7,Date of closure,Date of correction letter,FDA's Letter,Date additional correspondence,Additional correspondence,Date additinoal correspondence 2,Additional correspondence 2,Date additional correspondence 3,Additional correspondence 3,Date additional correspondence 4,Additional correspondence 4,Resubmission,Resubmitted,Notes,Related submission
gras_notices,Soy isoflavone extract,,"Ingredient in performance bars, mature adult meal replacements, and beverages at a level of 25 milligrams per serving",,1,Soy isoflavone extract,"Ingredient in performance bars, mature adult meal replacements, and beverages at a level of 25 milligrams per serving",Scientific procedures,Archer Daniels Midland Company,"Box 1470; Decatur, IL 62525",02/10/1998,GRN 1 (in PDF),,,,,,,11/03/1998,,"At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
gras_notices,Solin oil (low linolenic acid flaxseed oil or low linolenic acid linseed oil),,"Use as a general purpose cooking, frying, and salad oil; and as an ingredient in margarines, shortenings, and other food products",,2,Solin oil (low linolenic acid flaxseed oil or low linolenic acid linseed oil),"Use as a general purpose cooking, frying, and salad oil; and as an ingredient in margarines, shortenings, and other food products",Scientific procedures,United Grain Growers Ltd.,"TD Centre; 201 Portage Avenue; Box 6600; Winnipeg, Manitoba; CANADA R3C 3A7",02/11/1998,GRN 2 (in PDF),,,,,,,05/27/1998,,FDA has no questions,,,,,,,,,,,Incorporates GRAS Affirmation Petition,GRP 5G0416
gras_notices,Sodium bisulfate,,Use in cake mixes as a pH control agent and a leavening agent at a level of 0.1 to 1.0 percent by weight; use in foods in general as a pH control agent and processing aid at levels not to exceed good manufacturing practices,,3,Sodium bisulfate,Use in cake mixes as a pH control agent and a leavening agent at a level of 0.1 to 1.0 percent by weight; use in foods in general as a pH control agent and processing aid at levels not to exceed good manufacturing practices,Scientific procedures,Jones Hamilton Co.,"30354 Tracy Road; Walbridge, OH 43465",02/26/1998,GRN 3 (in PDF),,,,,,,06/05/1998,,FDA has no questions,,,,,,,,,,,,
gras_notices,Transglutaminase from Streptoverticillium mobaraense,,Use in processed seafood as a crosslinking agent at levels not to exceed 65 parts per million,,4,Transglutaminase from Streptoverticillium mobaraense,Use in processed seafood as a crosslinking agent at levels not to exceed 65 parts per million,Scientific procedures,Ajinomoto USA,"1120 Connecticut Ave., NW; Suite 416; Washington, DC 20036",03/04/1998,GRN 4 (in PDF),,,,,,,06/22/1998,,FDA has no questions,,,,,,,,,,,,
gras_notices,Tasteless smoke,,"Use in red-meat seafoods such as tuna and salmon to preserve the taste, aroma, and color",,5,Tasteless smoke,"Use in red-meat seafoods such as tuna and salmon to preserve the taste, aroma, and color",Common use in food,Hawaii International Seafood Inc.,"Honolulu International Airport; P.O. Box 30486; Honolulu, HI 96820",04/29/1998,GRN 5 (in PDF),,,,,,,11/09/1998,,"At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,15,,
gras_notices,Dioctyl sodium sulfosuccinate,,Use in carbonated and non-carbonated soft drinks as a wetting agent or solubilizer for flavor emulsion stabilizers at levels up to 10 parts per million of the finished beverage,,6,Dioctyl sodium sulfosuccinate,Use in carbonated and non-carbonated soft drinks as a wetting agent or solubilizer for flavor emulsion stabilizers at levels up to 10 parts per million of the finished beverage,Scientific procedures,"Cytec Industries, Inc.","Five Garret Mountain Plaza; West Paterson, NJ 07424",07/21/1998,GRN 6 (in PDF),,,,,,,12/28/1998,,FDA has no questions,,,,,,,,,,,,
gras_notices,ARASCO (arachidonic acid-rich single-cell oil) and DHASCO (docosahexaenoic acid-rich single-cell oil) as sources of the fatty acids ARA (arachidonic acid) and DHA (docosahexaenoic acid),,ARASCO as a source of ARA and DHASCO as a source of DHA in infant formula,,7,ARASCO (arachidonic acid-rich single-cell oil) and DHASCO (docosahexaenoic acid-rich single-cell oil) as sources of the fatty acids ARA (arachidonic acid) and DHA (docosahexaenoic acid),ARASCO as a source of ARA and DHASCO as a source of DHA in infant formula,Scientific procedures,Wyeth Nutritionals International,"145 King of Prussia Road; Radnor, PA 19087",09/01/1998,GRN 7 (in PDF),,,,,,,03/04/1999,,Notice does not provide a basis for a GRAS determination,,,,,,,,,,41,,
gras_notices,Pectin esterase derived from Aspergillus oryzae carrying a gene encoding pectin esterase from Aspergillus aculeatus,,Use in fruit and vegetable products as a processing aid at minimal level needed to accomplish the intended technical effect,,8,Pectin esterase derived from Aspergillus oryzae carrying a gene encoding pectin esterase from Aspergillus aculeatus,Use in fruit and vegetable products as a processing aid at minimal level needed to accomplish the intended technical effect,Scientific procedures,Novo Nordisk,"77 Perry Chapel Church Road; Box 576; Franklinton, NC 27525-0576",10/14/1998,GRN 8 (in PDF),,,,,,,03/02/1999,,FDA has no questions,,,,,,,,,,,,
gras_notices,Polyglycerol polyricinoleic acid,,Use in chocolate as an emulsifier at a level up to 0.3 percent,,9,Polyglycerol polyricinoleic acid,Use in chocolate as an emulsifier at a level up to 0.3 percent,Scientific procedures,Quest International,"5115 Sedge Blvd.; Hoffman Estates, IL 60192",10/22/1998,GRN 9 (in PDF),,,,,,,03/02/1999,04/02/1999,FDA has no questions,,,,,,,,,,,,
gras_notices,Exopeptidase derived from Aspergillus oryzae carrying a gene encoding a leucine aminopeptidase from Aspergillus sojae,,Use as a food processing aid at a level ranging from 0.2 to 0.8 percent,,10,Exopeptidase derived from Aspergillus oryzae carrying a gene encoding a leucine aminopeptidase from Aspergillus sojae,Use as a food processing aid at a level ranging from 0.2 to 0.8 percent,Scientific procedures,Rohm Enzyme Finland Oy,Tykkimaentie 15; 05200 Rajamaki; FINLAND,10/28/1998,GRN 10 (in PDF),,,,,,,01/29/1999,,Notice does not provide a basis for a GRAS determination,,,,,,,,,,,,
gras_notices,Calcium casein peptone-calcium phosphate,,Use in chewing gum as a texturizer at a use level of up to 5 percent wt/wt,,11,Calcium casein peptone-calcium phosphate,Use in chewing gum as a texturizer at a use level of up to 5 percent wt/wt,Scientific procedures,Bonlac Foods Limited,"P.O. Box 4313 Melbourne; Victoria, AUSTRALIA 3001",11/23/1998,GRN 11 (in PDF),,,,,,,01/29/1999,,FDA has no questions,,,,,,,,,,,,
gras_notices,Mesquite wood alcoholic extract,,"Use in several food categories, including alcoholic beverages, as a flavor",,12,Mesquite wood alcoholic extract,"Use in several food categories, including alcoholic beverages, as a flavor",Common use in food,Givaudan Roure Flavors,"1199 Edison Drive; Cincinnati, OH 45216",12/30/1998,GRN 12 (in PDF),,,,,,,03/11/1999,,"At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,18,,
gras_notices,Botanicals: Chrysanthemum; Licorice; Jellywort AND; Honeysuckle; Lophatherum; Mulberry leaf; Frangipani; Selfheal; Sophora flower bud,,Use in herbal tea as a flavor,,13,Botanicals: Chrysanthemum; Licorice; Jellywort AND; Honeysuckle; Lophatherum; Mulberry leaf; Frangipani; Selfheal; Sophora flower bud,Use in herbal tea as a flavor,Common use in food,Vitasoy International Holdings Ltd.,"1, Kin Wong Street; Tuen Mun, New Territories; HONG KONG",01/11/1999,GRN 13 (in PDF),,,,,,,06/02/1999,,Notice does not provide a basis AND; FDA has no questions,,,,,,,,,,,Notice only provided basis for subset of notified ingredients,
gras_notices,Hydrogen peroxide,,Use in the manufacture of dehydrated onions as a processing aid to extend their shelf life,,14,Hydrogen peroxide,Use in the manufacture of dehydrated onions as a processing aid to extend their shelf life,Scientific procedures,Basic Vegetable Products,"700 Airport Drive; King City, CA 93930",02/17/1999,GRN 14 (in PDF),,,,,,,05/26/1999,,Notice does not provide a basis for a GRAS determination,,,,,,,,,,,,
gras_notices,Tasteless smoke,,"Use in raw tuna, before it is frozen, to preserve its taste, aroma, texture and color at levels sufficient to accomplish this purpose",,15,Tasteless smoke,"Use in raw tuna, before it is frozen, to preserve its taste, aroma, texture and color at levels sufficient to accomplish this purpose",Scientific procedures,Hawaii International Seafood Inc.,"Honolulu International Airport; P.O. Box 30486; Honolulu, HI 96820",03/17/1999,GRN 15 (in PDF),,,,,,,03/10/2000,,FDA has no questions,,,,,,,,,5,,,
gras_notices,Menhaden oil,,Use in a variety of foods as a source of fat at levels ranging from 0.5 to 12 percent by weight,,16,Menhaden oil,Use in a variety of foods as a source of fat at levels ranging from 0.5 to 12 percent by weight,Scientific procedures,BASF Corporation,"3000 Continental Drive North; Mount Olive, NJ 07828-1234",03/11/1999,GRN 16 (in PDF),,,,,,,06/08/1999,,"At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
gras_notices,Arabinogalactan,,Use in foods in general for multiple technical effects,,17,Arabinogalactan,Use in foods in general for multiple technical effects,Scientific procedures,"Larex, Inc.","2852 Patton Road; St. Paul, MN 55113",03/11/1999,GRN 17 (in PDF),,,,,,,04/11/2000,,"At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,47,,
gras_notices,Mesquite (Prosopis spp.) wood alcoholic extract,,Use in distilled spirits as a flavor at a use level of one pound per 400 wine gallons,,18,Mesquite (Prosopis spp.) wood alcoholic extract,Use in distilled spirits as a flavor at a use level of one pound per 400 wine gallons,Scientific procedures,Givaudan Roure Flavors,"1199 Edison Drive; Cincinnati, OH 45216",03/12/1999,GRN 18 (in PDF),,,,,,,05/12/1999,,FDA has no questions,,,,,,,,,12,,,
gras_notices,Ferrous bisglycinate chelate,,Use in foods in general as a source of dietary iron for food enrichment and fortification purposes consistent with iron supplementation guidelines,,19,Ferrous bisglycinate chelate,Use in foods in general as a source of dietary iron for food enrichment and fortification purposes consistent with iron supplementation guidelines,Scientific procedures,"Albion Laboratories, Inc.","P.O. Box 750; 101 North Main St.; Clearfield, UT 84015-2243",04/22/1999,GRN 19 (in PDF),,,,,,,09/30/1999,,FDA has no questions,,,,,,,,,,,,
gras_notices,Pullulanase derived from Bacillus subtilis carrying a gene encoding pullulanase from Bacillus naganoensis,,"Use in hydrolyzing starch and starch-related compounds in the production of corn sweeteners, baked goods, and alcoholic beverages at minimum levels necessary to accomplish the intended effect in accordance with current good manufacturing practices",,20,Pullulanase derived from Bacillus subtilis carrying a gene encoding pullulanase from Bacillus naganoensis,"Use in hydrolyzing starch and starch-related compounds in the production of corn sweeteners, baked goods, and alcoholic beverages at minimum levels necessary to accomplish the intended effect in accordance with current good manufacturing practices",Scientific procedures,Enzyme Bio-Systems Ltd.,"Enzyme Bio-Systems Ltd.; 2600 Kennedy Drive; Beloit, WI 53511-3992",04/22/1999,GRN 20 (in PDF),,,,,,,09/30/1999,,FDA has no questions,,,,,,,,,,,,
gras_notices,Pork collagen,,Use in meat products as a binder and purge reducing agent at levels of 1.0 to 3.5 percent,,21,Pork collagen,Use in meat products as a binder and purge reducing agent at levels of 1.0 to 3.5 percent,Scientific procedures,"AMPC, Inc.","2325 North Loop Drive; Ames, IA 50010",04/26/1999,GRN 21 (in PDF),,,,,,,07/29/1999,,FDA has no questions,,,,,,,,,,,,
gras_notices,alpha-Amylase derived from Bacillus licheniformis carrying a gene encoding a modified alpha-amylase derived from Bacillus lichenformis and Bacillus amyloliquefaciens,,"Use in the starch industry (for the liquefaction of starch in the production of syrups), and in the alcohol industry (for the thinning of starch in distilling mashes) as a processing aid at minimum levels necessary to accomplish the intended technical effect in accordance with current good manufacturing practices",,22,alpha-Amylase derived from Bacillus licheniformis carrying a gene encoding a modified alpha-amylase derived from Bacillus lichenformis and Bacillus amyloliquefaciens,"Use in the starch industry (for the liquefaction of starch in the production of syrups), and in the alcohol industry (for the thinning of starch in distilling mashes) as a processing aid at minimum levels necessary to accomplish the intended technical effect in accordance with current good manufacturing practices",Scientific procedures,Novo Nordisk,"77 Perry Chapel Church Rd., Box 576; Franklinton, NC 27525",05/24/1999,GRN 22 (in PDF),,,,,,,12/29/1999,,FDA has no questions,,,,,,,,,,,,
gras_notices,Protein preparation from animal blood,,"Use in foods in general, including meat products, to provide protein nutritional value",,23,Protein preparation from animal blood,"Use in foods in general, including meat products, to provide protein nutritional value",Scientific procedures,"Desanguination Products, LLC","2613 Newcomb Street; Lubbock, TX 79415",06/04/1999,GRN 23 (in PDF),,,,,,,08/02/1999,,"At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
gras_notices,alpha-Amylase derived from Bacillus licheniformis carrying a gene encoding alpha-amylase from Bacillus stearothermophilus,,Use in the starch industry (for the liquefaction of starch in the production of syrups) and in the alcohol industry (for the thinning of starch in distilling mashes) as a processing aid at minimum levels necessary to accomplish the intended technical effect in accordance with current good manufacturing practices,,24,alpha-Amylase derived from Bacillus licheniformis carrying a gene encoding alpha-amylase from Bacillus stearothermophilus,Use in the starch industry (for the liquefaction of starch in the production of syrups) and in the alcohol industry (for the thinning of starch in distilling mashes) as a processing aid at minimum levels necessary to accomplish the intended technical effect in accordance with current good manufacturing practices,Scientific procedures,Novo Nordisk,"77 Perry Chapel Church Rd., Box 576; Franklinton, NC 27525",06/07/1999,GRN 24 (in PDF),,,,,,,05/15/2000,,FDA has no questions,,,,,,,,,,,,
gras_notices,"Extract of Garcinia kola seed (""bitter cola"")",,Use in an alcoholic beverage as a flavor enhancer,,25,"Extract of Garcinia kola seed (""bitter cola"")",Use in an alcoholic beverage as a flavor enhancer,Scientific procedures,Pharaoh Palmier,"155 Wilson St.; Albany, CA 94710",06/25/1999,GRN 25 (in PDF),,,,,,,10/12/1999,,Notice does not provide a basis for a GRAS determination,,,,,,,,,,,,
gras_notices,Isolated wheat protein,,"Use in powdered shortenings in baked goods, milk-like beverages, beverage whiteners, cheese analogues, meat and fish products, cooked meats, soups, sauces and marinades, mousses and meringues, edible films and coatings for various technical effects at levels ranging from 1 to 50 grams per kilogram",,26,Isolated wheat protein,"Use in powdered shortenings in baked goods, milk-like beverages, beverage whiteners, cheese analogues, meat and fish products, cooked meats, soups, sauces and marinades, mousses and meringues, edible films and coatings for various technical effects at levels ranging from 1 to 50 grams per kilogram",Scientific procedures,Manildra Group,"The Crescent; Auburn; Sydney, NSW 2144 AUSTRALIA",07/08/1999,GRN 26 (in PDF),,,,,,,12/16/1999,,FDA has no questions,,,,,,,,,,,,
gras_notices,Dextranase from Chaetomium gracile,,Use in cane and beet sugar as a processing aid,,27,Dextranase from Chaetomium gracile,Use in cane and beet sugar as a processing aid,Scientific procedures,"Sankyo Co., Ltd.","7-12, Ginza 2-ChomeChuo-ku; Tokyo 104-8113; JAPAN",07/14/1999,GRN 27 (in PDF),,,,,,,12/16/1999,,FDA has no questions,,,,,,,,,,,Incorporates GRAS Affirmation Petition,GRP 6G0420
gras_notices,Seaweed-derived calcium,,Use in foods in general as a source of dietary calcium for food enrichment and fortification purposes at various levels that range up to 4.0 percent,,28,Seaweed-derived calcium,Use in foods in general as a source of dietary calcium for food enrichment and fortification purposes at various levels that range up to 4.0 percent,Scientific procedures,Marigot Ltd./Celtic Sea Minerals,"Strand Farm; Currabinny; Carrigaline, Co. Cork; IRELAND",07/28/1999,GRN 28 (in PDF),,,,,,,04/21/2000,,FDA has no questions,03/19/2014,Additional correspondence about intended uses,03/27/2007,Additional corresopndence about intended uses,,,,,,,,
gras_notices,Transglutaminase from Streptoverticillium mobaraense,,"Use in processed cheeses, natural hard cheeses (domestic), cream cheese, refrigerated yogurt, frozen desserts, and vegetable protein dishes/vegeburgers/meat substitutes as a crosslinking agent at varying levels",,29,Transglutaminase from Streptoverticillium mobaraense,"Use in processed cheeses, natural hard cheeses (domestic), cream cheese, refrigerated yogurt, frozen desserts, and vegetable protein dishes/vegeburgers/meat substitutes as a crosslinking agent at varying levels",Scientific procedures,Ajinomoto USA,"1120 Connecticut Ave, NW; Suite 416; Washington, DC 20036",07/28/1999,GRN 29 (in PDF),,,,,,,12/29/1999,,FDA has no questions,,,,,,,,,,,,
gras_notices,Crospovidone-cranberry juice extract,,Ingredient in foods and beverages,,30,Crospovidone-cranberry juice extract,Ingredient in foods and beverages,Scientific procedures,"ShanStar Biotech, Inc.","P.O. Box 10; Chadwick Bay, NY 14048",08/03/1999,GRN 30 part 1 (in PDF),GRN 30 part 2 (in PDF),,,,,,12/20/1999,,Notice does not provide a basis for a GRAS determination,02/20/2001,Additional correspondence that does not provide a basis for a GRAS determination,,,,,,,,,,
gras_notices,Cetylpyridinium chloride,,"Use on raw and fully cooked foods including, poultry, red meat, fish and shellfish, eggs, fruits, vegetables, cereal grains, nutmeats, and dairy products as an antimicrobial agent at levels not to exceed 1.0 percent",,31,Cetylpyridinium chloride,"Use on raw and fully cooked foods including, poultry, red meat, fish and shellfish, eggs, fruits, vegetables, cereal grains, nutmeats, and dairy products as an antimicrobial agent at levels not to exceed 1.0 percent",Scientific procedures,Safe Foods Corporation,"1505 Rebsamen Park Road; Little Rock, AR 72202",09/20/1999,GRN 31 (in PDF),,,,,,,01/10/2000,,"At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,38,,
gras_notices,Pectin lyase derived from Trichoderma reesei carrying a gene encoding pectin lyase from Aspergillus niger,,"Use in the preparation of fruit and vegetable juices, purees, and concentrates as a processing aid at levels ranging from 5 to 100 parts per million to accomplish the intended technical effect in accordance with current good manufacturing practices",,32,Pectin lyase derived from Trichoderma reesei carrying a gene encoding pectin lyase from Aspergillus niger,"Use in the preparation of fruit and vegetable juices, purees, and concentrates as a processing aid at levels ranging from 5 to 100 parts per million to accomplish the intended technical effect in accordance with current good manufacturing practices",Scientific procedures,Rohm Enzyme GmbH,"Kirschenallee 45; D-64293 Darmstadt, GERMANY",10/14/1999,GRN 32 (in PDF),,,,,,,04/20/2000,,FDA has no questions,,,,,,,,,,,,
gras_notices,Low erucic acid oil derived from Brassica juncea,,"Use in food processing, in the manufacture of margarines and shortenings, and as a salad and frying oil",,33,Low erucic acid oil derived from Brassica juncea,"Use in food processing, in the manufacture of margarines and shortenings, and as a salad and frying oil",Scientific procedures,Canola Council of Canada,"400-167 Lombard Avenue; Winnipeg, Manitoba; CANADA R3B 0T6",10/22/1999,GRN 33 (in PDF),,,,,,,01/27/2000,,FDA has no questions,,,,,,,,,,,,
gras_notices,Aspartic proteinase derived from Aspergillus oryzae carrying a gene encoding aspartic proteinase from Rhizomucor miehei,,Use in meat as a tenderizing agent at minimum levels necessary to accomplish the intended technical effect in accordance with current good manufacturing practices,,34,Aspartic proteinase derived from Aspergillus oryzae carrying a gene encoding aspartic proteinase from Rhizomucor miehei,Use in meat as a tenderizing agent at minimum levels necessary to accomplish the intended technical effect in accordance with current good manufacturing practices,Scientific procedures,Novo Nordisk,"77 Perry Chapel Church Rd., Box 576; Franklinton, NC 27525",11/17/1999,GRN 34 (in PDF),,,,,,,04/19/2000,,FDA has no questions,,,,,,,,,,,,
gras_notices,Hempseed oil,,"Use in food as a flavoring agent, adjuvant solvent, vehicle, stabilizer, thickener, emulsifier, or texturizer at the minimum required to produce the intended technical effect",,35,Hempseed oil,"Use in food as a flavoring agent, adjuvant solvent, vehicle, stabilizer, thickener, emulsifier, or texturizer at the minimum required to produce the intended technical effect",Common use in food,"Consolidated Growers and Processors, Inc.","P.O. Box 2228; Monterey, CA 93942",11/17/1999,GRN 35 (in PDF),,,,,,,08/24/2000,,Notice does not provide a basis for a GRAS determination,,,,,,,,,,,,
gras_notices,Chromium picolinate; Ginkgo biloba leaf extract; and Ginseng extract,,Ingredients in non-carbonated beverage or tea,,36,Chromium picolinate; Ginkgo biloba leaf extract; and Ginseng extract,Ingredients in non-carbonated beverage or tea,Scientific procedures,"Vancol Industries, Inc.","1700 E. 68th Ave; Denver, CO 80229",01/03/2000,GRN 36 (in PDF),,,,,,,04/10/2000,,"At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
gras_notices,Whey protein isolate and dairy product solids,,"Whey protein isolate - use in foods in general, including meat, for multiple technical effects; dairy product solids - use in foods in general, including alcohol, for multiple technical effects",,37,Whey protein isolate and dairy product solids,"Whey protein isolate - use in foods in general, including meat, for multiple technical effects; dairy product solids - use in foods in general, including alcohol, for multiple technical effects",Scientific procedures,American Dairy Products Institute,"300 West Washington Street #400; Chicago, IL 60606",01/14/2000,GRN 37 (in PDF),,,,,,,04/21/2000,,FDA has no questions,01/30/2001,"Additional correspondence clarifying the term ""dairy product solids""",,,,,,,,,Incorporates GRAS Affirmation Petition,GRP 1G0371
gras_notices,Cetylpyridinium chloride,,Use on the outside surface of raw and fully cooked meat and poultry products as an antimicrobial agent at a level not to exceed 1.0 percent,,38,Cetylpyridinium chloride,Use on the outside surface of raw and fully cooked meat and poultry products as an antimicrobial agent at a level not to exceed 1.0 percent,Scientific procedures,Safe Foods Corporation,"1505 Rebsamen Park Road; Little Rock, AR 72202",01/19/2000,GRN 38 (in PDF),,,,,,,02/29/2000,,Notice does not provide a basis for a GRAS determination,,,,,,,,,31,,Resubmitted as,FAP 6A4767
gras_notices,Tall oil phytosterols,,Ingredient in vegetable oil spreads at a level up to 12 percent free phytosterols,,39,Tall oil phytosterols,Ingredient in vegetable oil spreads at a level up to 12 percent free phytosterols,Scientific procedures,"Novartis Consumer Health, Inc.","560 Morris Avenue; Summit, NJ 07901",01/28/2000,GRN 39 (in PDF),,,,,,,04/24/2000,,FDA has no questions,11/02/2000,Additional correspondence clarifying intended use,,,,,,,,,,
gras_notices,Mineral oil,,Use on food processing equipment as a sprayed release agent resulting in a presence on food at no more than 5 parts per million,,40,Mineral oil,Use on food processing equipment as a sprayed release agent resulting in a presence on food at no more than 5 parts per million,Common use in food,American Ingredients Company,"3947 Broadway; Kansas City, MO 64111",02/28/2000,GRN 40 (in PDF),,,,,,,12/11/2000,,Notice does not provide a basis for a GRAS determination,,,,,,,,,,71,,
gras_notices,DHASCO (docosahexaenoic acid-rich single-cell oil) and ARASCO (arachidonic acid-rich single-cell oil),,"Provide DHASCO (as a source of docosahexaenoic acid) and ARASCO (as a source of arachidonic acid) in term infant formula, at a maximum level of 1.25 percent each of the total dietary fat and at a ratio ranging from 1:1 to 1:2 (DHASCO:ARASCO)",,41,DHASCO (docosahexaenoic acid-rich single-cell oil) and ARASCO (arachidonic acid-rich single-cell oil),"Provide DHASCO (as a source of docosahexaenoic acid) and ARASCO (as a source of arachidonic acid) in term infant formula, at a maximum level of 1.25 percent each of the total dietary fat and at a ratio ranging from 1:1 to 1:2 (DHASCO:ARASCO)",Scientific procedures,Martek Biosciences Corporation,"6480 Dobbin Road; Columbia, MD 21045",03/01/2000,GRN 41 (in PDF),,,,,,,05/17/2001,,FDA has no questions,,,,,,,,,7,,,
gras_notices,Milk-derived lactoferrin,,Ingredient in sports and functional foods,,42,Milk-derived lactoferrin,Ingredient in sports and functional foods,Scientific procedures,DMV International,"1712 Deltown Plaza; Fraser, NY 13753",04/10/2000,GRN 42 (in PDF),,,,,,,03/26/2001,,Notice does not provide a basis for a GRAS determination,04/23/2001,"Additional correspondence clarifying the appropriate mechanism to ""supplement"" a notice after FDA has responded to that notice",,,,,,,,77,,
gras_notices,Lipase derived from Aspergillus oryzae carrying a gene encoding lipase from Thermomyces lanuginosus,,"Use in dough, baked goods, and the fats and oil industry as a processing aid for the interesterification or hydrolysis of glycerides at minimum levels necessary to achieve the desired effect; use as an enzyme in brewing beer (per additional correspondence of April 21, 2010)",,43,Lipase derived from Aspergillus oryzae carrying a gene encoding lipase from Thermomyces lanuginosus,"Use in dough, baked goods, and the fats and oil industry as a processing aid for the interesterification or hydrolysis of glycerides at minimum levels necessary to achieve the desired effect; use as an enzyme in brewing beer (per additional correspondence of April 21, 2010)",Scientific procedures,Novo Nordisk,"77 Perry Chapel Church Road; Box 576; Franklinton, NC 27525",04/28/2000,GRN 43 (in PDF),,,,,,,09/22/2000,,FDA has no questions,04/21/2010,Additional correspondence about intended use,,,,,,,,,,
gras_notices,Fructooligosaccharide,,"Intended for use as an ingredient in foods in general, excluding meat and poultry products and infant formula, at levels up to 20 grams (g) per day in the general population and at levels up to 4.2 g per day in infants less than one year of age.",,44,Fructooligosaccharide,"Intended for use as an ingredient in foods in general, excluding meat and poultry products and infant formula, at levels up to 20 grams (g) per day in the general population and at levels up to 4.2 g per day in infants less than one year of age.",Scientific procedures,GTC Nutrition Company,"14252 W. 44th Ave.; Unit F; Golden, CO 80403",05/02/2000,GRN 44 (in PDF),,,,,,,11/22/2000,,FDA has no questions,06/01/2007,Additional correspondence about intended uses,,,,,,,,,,
gras_notices,Trehalose,,"Use in foods in general, including meat products, for multiple technical effects at levels in accordance with good manufacturing practice",,45,Trehalose,"Use in foods in general, including meat products, for multiple technical effects at levels in accordance with good manufacturing practice",Scientific procedures,Hayashibara International Inc.,"8670 Wolff Court; Suite 200; Westminster, CO 80030",05/17/2000,GRN 45 (in PDF),,,,,,,10/05/2000,,FDA has no questions,,,,,,,,,,,,
gras_notices,Gamma cyclodextrin,,"Use in bread spreads, frozen dairy desserts, ready-to-eat dairy desserts, desserts prepared from dry mixes, fruit fillings, cheese and cream fillings, and chewing gum as a stabilizer, emulsifier, carrier and formulation aid at varying levels",,46,Gamma cyclodextrin,"Use in bread spreads, frozen dairy desserts, ready-to-eat dairy desserts, desserts prepared from dry mixes, fruit fillings, cheese and cream fillings, and chewing gum as a stabilizer, emulsifier, carrier and formulation aid at varying levels",Scientific procedures,Wacker Biochem Corp.,"3301 Sutton Road; Adrian, MI 49221",05/22/2000,GRN 46 (in PDF),,,,,,,09/22/2000,,FDA has no questions,,,,,,,,,,,,
gras_notices,Arabinogalactan from Larix occidentalis,,"Use in foods in general, including meat products, for multiple technical effects",,47,Arabinogalactan from Larix occidentalis,"Use in foods in general, including meat products, for multiple technical effects",Scientific procedures,Larex Inc.,"4815 White Bear Lake Parkway; White Bear Lake, MN 55110",05/30/2000,GRN 47 (in PDF),,,,,,,06/06/2000,,FDA has no questions,,,,,,,,,17,,,
gras_notices,Vegetable oil phytosterol esters,,"Ingredient in vegetable oil spread, dressings for salad, bars, and yogurt",,48,Vegetable oil phytosterol esters,"Ingredient in vegetable oil spread, dressings for salad, bars, and yogurt",Scientific procedures,Cargill Inc.,"15407 McGinty Road West, MS110; Wayzata, MN 55391",06/02/2000,GRN 48 (in PDF),,,,,,,11/27/2000,,FDA has no questions,,,,,,,,,,,,
gras_notices,Bifidobacterium lactis strain Bb12 and Streptococcus thermophilus strain Th4,,"Ingredients in milk-based infant formula that is intended for consumption by infants four months and older, at levels not to exceed good manufacturing practice",,49,Bifidobacterium lactis strain Bb12 and Streptococcus thermophilus strain Th4,"Ingredients in milk-based infant formula that is intended for consumption by infants four months and older, at levels not to exceed good manufacturing practice",Scientific procedures,Nestle USA,"800 North Brand Boulevard; Glendale, CA 91203",06/14/2000,GRN 49 part 1 (in PDF),GRN 49 part 2 with amendments (in PDF),,,,,,03/19/2002,,FDA has no questions,11/28/2005,Additional correspondence clarifying new information on B. lactis strain Bb12,,,,,,,,,,
gras_notices,Bohenin,,Use in chocolate and chocolate coatings as a tempering aid and anti-bloom agent at a level not to exceed 5 percent by weight of the total fat,,50,Bohenin,Use in chocolate and chocolate coatings as a tempering aid and anti-bloom agent at a level not to exceed 5 percent by weight of the total fat,Scientific procedures,"Fuji Oil Co., Ltd.",Hannan R&D Center; 1 Sumiyoshi-cho; Izumisano-shi Osaka 598-8540; JAPAN,06/20/2000,GRN 50 (in PDF),,,,,,,08/31/2000,,FDA has no questions,,,,,,,,,,,Incorporates GRAS Affirmation Petition,GRP 4G0407
gras_notices,Cassia gum from Cassia tora/obtusifolia,,Use in foods in general in accordance with good manufacturing practice,,51,Cassia gum from Cassia tora/obtusifolia,Use in foods in general in accordance with good manufacturing practice,Scientific procedures,B.F. Goodrich,"Performance Materials; Food & Beverage Ingredients Division; 2235 Langdon Farm Road; Cincinnati, OH 45237",06/23/2000,GRN 51 (in PDF),,,,,,,02/27/2001,,"At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,139,,
