_inventory,_substance,_other_names,_use,_cas,GRAS Notice (GRN) No.,Substance,Intended Use,Basis,Notifier,Notifier Address,Date of filing,GRN Part 1,GRN Part 2,GRN Part 3,GRN Part 4,GRN Part 5,GRN Part 6,GRN Part 7,Date of closure,Date of correction letter,FDA's Letter,Date additional correspondence,Additional correspondence,Date additinoal correspondence 2,Additional correspondence 2,Date additional correspondence 3,Additional correspondence 3,Date additional correspondence 4,Additional correspondence 4,Resubmission,Resubmitted,Notes,Related submission
gras_notices,Heyndrickxia coagulans NRRL B-67744,,"Intended for use as an ingredient at a maximum level of 2 x 109 colony forming units (CFU)/serving in baked goods and baking mixes; non-alcoholic beverages and beverage bases; breakfast cereals; cheeses; chewing gum; coffee and tea; condiments and relishes; confections and frosting; dairy product analogs; fats and oils; fresh fruit juices; frozen dairy desserts and mixes; fruit and water ices; gelatins, puddings and fillings; grain products and pastas; hardy candy and cough drops; herbs, seeds, spices, seasonings, blends, extracts, and flavorings; jams and jellies; milk (whole and skim); milk products; nuts and nutproducts; plant protein products; processed fruits; processed vegetables and vegetable juices; snack foods; soft candy; soups and soup mixes; sugar; and sweet sauces, toppings and syrups.",,1221,Heyndrickxia coagulans NRRL B-67744,"Intended for use as an ingredient at a maximum level of 2 x 109 colony forming units (CFU)/serving in baked goods and baking mixes; non-alcoholic beverages and beverage bases; breakfast cereals; cheeses; chewing gum; coffee and tea; condiments and relishes; confections and frosting; dairy product analogs; fats and oils; fresh fruit juices; frozen dairy desserts and mixes; fruit and water ices; gelatins, puddings and fillings; grain products and pastas; hardy candy and cough drops; herbs, seeds, spices, seasonings, blends, extracts, and flavorings; jams and jellies; milk (whole and skim); milk products; nuts and nutproducts; plant protein products; processed fruits; processed vegetables and vegetable juices; snack foods; soft candy; soups and soup mixes; sugar; and sweet sauces, toppings and syrups.",Scientific procedures,"Microbial Discovery Group, LLC","7420 S Howell Ave, Suite 300 ; Oak Creek, WI 53154",,GRN 1221 with amendments (in PDF),,,,,,,06/09/2025,,FDA has no questions (in PDF),,,,,,,,,,,,
gras_notices,Hydroxytyrosol,,"Intended for use as an antioxidant at levels of 5 mg per serving in ready-to-drink beverages (sports drinks, energy drinks, milk-based meal replacements, fruit-flavored drinks and flavored waters); in fats and oils (butter, margarine, oil, shortening, salad dressing, mayonnaise and mayonnaise-type sandwich spreads); and in fruit juices, fruit nectars, and vegetable juices.",,1182,Hydroxytyrosol,"Intended for use as an antioxidant at levels of 5 mg per serving in ready-to-drink beverages (sports drinks, energy drinks, milk-based meal replacements, fruit-flavored drinks and flavored waters); in fats and oils (butter, margarine, oil, shortening, salad dressing, mayonnaise and mayonnaise-type sandwich spreads); and in fruit juices, fruit nectars, and vegetable juices.",Scientific procedures,"Hangzhou Viablife Biotech Co, Ltd.","Building 2, 202 Zhengshong Road Xihu District; Hangzhou, Zhejiang, 310030; China",,GRN 1182 with amendments (in PDF),,,,,,,02/12/2025,,FDA has no questions (in PDF),,,,,,,,,1138,,,
gras_notices,Dry whole goat milk,,"Intended for use as an ingredient in goat milk-based, non-exempt infant formula for term infants at a level up to 20% (w/w) of powdered formula.",,1189,Dry whole goat milk,"Intended for use as an ingredient in goat milk-based, non-exempt infant formula for term infants at a level up to 20% (w/w) of powdered formula.",Scientific procedures,Bubs Australia Limited,"ACN 060 094 742; 23-29 Nina Link, Dandenong South; VIC 3175; Australia;",,GRN 1189 with amendments (in PDF),,,,,,,09/24/2024,,FDA has no questions (in PDF),,,,,,,,,,,,
gras_notices,"Limosilactobacillus reuteri strain ATCC PTA-126787 and L. reuteri strain ATCC PTA-126788, in combination, on a 1:1 ratio of colony forming unit (CFU) basis",,Intended for use as an ingredient in various foods at the maximum use levels specified in Table 1 of the response letter.,,1112,"Limosilactobacillus reuteri strain ATCC PTA-126787 and L. reuteri strain ATCC PTA-126788, in combination, on a 1:1 ratio of colony forming unit (CFU) basis",Intended for use as an ingredient in various foods at the maximum use levels specified in Table 1 of the response letter.,Scientific procedures,"BiomEdit, LLC","10100 Lantern Rd, Suite 150; Fishers, IN 46037",,"GRN 1112 Part 1 (GRN, Annex 1-13 with amendments) (in PDF)",GRN 1112 Part 2 - Annex 14a-b (in PDF),GRN 1112 Part 3 - Annex 14c (in PDF),GRN 1112 Part 4 - Annex 14d (in PDF),,,,09/28/2023,,FDA has no questions (in PDF),,,,,,,,,,,,
gras_notices,Bacillus coagulans Unique IS-2 spore preparation,,"Intended for use as an ingredient in powder, liquid concentrate, and ready-to-feed, soy- and milk-based, non-exempt infant formula for term infants at a maximum use level of 2 x 108 colony forming units/100 mL infant formula as consumed.",,1177,Bacillus coagulans Unique IS-2 spore preparation,"Intended for use as an ingredient in powder, liquid concentrate, and ready-to-feed, soy- and milk-based, non-exempt infant formula for term infants at a maximum use level of 2 x 108 colony forming units/100 mL infant formula as consumed.",Scientific procedures,"Unique Biotech Limited, India","Plot No. 2, Phase-II, M.N. Park; Kolthur Village, Shameerpet Mandal; Medchal Malkajgiri District; Hyderabad, Telangana 500 101; India",,GRN 1177 with amendments (in PDF),,,,,,,07/05/2024,,FDA has no questions (in PDF),,,,,,,,,,,,
gras_notices,Weizmannia coagulans LMG S-31876 spore preparation,,"Intended for use at a maximum level of 2 x 109 colony forming units (CFU)/serving as an ingredient in baked goods and baking mixes; breakfast cereals; beverages and beverage bases; coffee and tea; milk and milk products; dairy product analogs; fruit juices; condiments and relishes; confections and frostings; frozen dairy desserts and mixes; fruit and water ices; jams and jellies; gelatins, puddings and fillings; grain products and pastas; hard and soft candy; chewing gum; extracts, flavorings, herbs, seeds, spices, seasonings and blends; nuts and nut products; plant protein products; processed fruits; processed vegetables and vegetable juices; snack foods; soups and soup mixes; sugar; and sweet sauces, toppings and syrups.",,1181,Weizmannia coagulans LMG S-31876 spore preparation,"Intended for use at a maximum level of 2 x 109 colony forming units (CFU)/serving as an ingredient in baked goods and baking mixes; breakfast cereals; beverages and beverage bases; coffee and tea; milk and milk products; dairy product analogs; fruit juices; condiments and relishes; confections and frostings; frozen dairy desserts and mixes; fruit and water ices; jams and jellies; gelatins, puddings and fillings; grain products and pastas; hard and soft candy; chewing gum; extracts, flavorings, herbs, seeds, spices, seasonings and blends; nuts and nut products; plant protein products; processed fruits; processed vegetables and vegetable juices; snack foods; soups and soup mixes; sugar; and sweet sauces, toppings and syrups.",Scientific procedures,Abode Biotec India Private Limited,"Plot No. 34 A, Huda Heights, 2nd Floor; Road No. 12 Banjara Hills, Near Lotus Pond; Hyderabad, Telangana 50003; India",,GRN 1181 with amendments (in PDF),,,,,,,07/25/2024,,FDA has no questions (in PDF),,,,,,,,,,,,
gras_notices,Ergothioneine produced by Escherichia coli BL-21 (DE3) expressing ergothioneine synthases from Schizosaccharomyces pombe,,"Intended for use as an ingredient in cakes, cookies, pastries (including granola bars); coffee; tea; fruit drinks and ades; carbonated soft drinks; and candy containing chocolate at a level of 5 mg per serving.",,1191,Ergothioneine produced by Escherichia coli BL-21 (DE3) expressing ergothioneine synthases from Schizosaccharomyces pombe,"Intended for use as an ingredient in cakes, cookies, pastries (including granola bars); coffee; tea; fruit drinks and ades; carbonated soft drinks; and candy containing chocolate at a level of 5 mg per serving.",Scientific procedures,"Shanghai EGT Synbio Group Co., LTD","1299 Ziyue Road; Minhang District, Shanghai 200241; China",,GRN 1191 with amendments (in PDF),,,,,,,01/30/2025,,FDA has no questions (in PDF),,,,,,,,,,,,
gras_notices,Tannase enzyme preparation produced by Aspergillus oryzae,,"Intended for use as an enzyme at up to 25 mg Total Organic Solids (TOS)/L in tea-based beverages, juices, juice drinks, soft drinks, flavored water, jelly and botanical extracts.",,1192,Tannase enzyme preparation produced by Aspergillus oryzae,"Intended for use as an enzyme at up to 25 mg Total Organic Solids (TOS)/L in tea-based beverages, juices, juice drinks, soft drinks, flavored water, jelly and botanical extracts.",Scientific procedures,Mitsubishi Chemical Corporation,"1-1, Marunouchi 1-Chome, Chiyoda-ku; Tokyo, 100-8251; Japan",,GRN 1192 with amendments (in PDF),,,,,,,03/14/2025,,FDA has no questions (in PDF),,,,,,,,,,,,
gras_notices,D-psicose,,"Intended for use as a sweetener at levels ranging from 2% to 100% in bakery products (rolls, cakes, pies, pastries, and cookies, low-calorie or dietetics); non-alcoholic beverages (low- and reduced-calorie, sugar-free); cereals (regular, low- and reduced-calorie, sugar-free); chewing gum; coffee mix; confections and frostings; salad dressings; frozen dairy desserts (ice cream, soft serve, sorbet; low- and reduced-calorie, sugar-free); gelatins, puddings, and fillings (low- and reduced-calorie, sugar-free); hard candy (including pressed candy and mints); jams and jellies; fat-based creams; yogurt (regular and frozen, low-and reduced-calorie, sugar-free); soft candy (non-chocolate, plain chocolate, chocolate coated, low- and reduced-calorie, sugar-free); sugar; sugar substitutes; sweet sauces and syrups (low- and reduced-calorie, sugar-free); and grain-based cereal bars and protein bars.",,1193,D-psicose,"Intended for use as a sweetener at levels ranging from 2% to 100% in bakery products (rolls, cakes, pies, pastries, and cookies, low-calorie or dietetics); non-alcoholic beverages (low- and reduced-calorie, sugar-free); cereals (regular, low- and reduced-calorie, sugar-free); chewing gum; coffee mix; confections and frostings; salad dressings; frozen dairy desserts (ice cream, soft serve, sorbet; low- and reduced-calorie, sugar-free); gelatins, puddings, and fillings (low- and reduced-calorie, sugar-free); hard candy (including pressed candy and mints); jams and jellies; fat-based creams; yogurt (regular and frozen, low-and reduced-calorie, sugar-free); soft candy (non-chocolate, plain chocolate, chocolate coated, low- and reduced-calorie, sugar-free); sugar; sugar substitutes; sweet sauces and syrups (low- and reduced-calorie, sugar-free); and grain-based cereal bars and protein bars.",Scientific procedures,"Sichuan Ingia Biosynthetic Co., Ltd.","2-1111#, No. 368 Tianfu 2nd Street, Hi-tech Zone; Chengdu, Sichuan, 610041; China",,GRN 1193 with amendments - part 1 (in PDF),GRN 1193 with amendments - part 2 (in PDF),,,,,,12/12/2024,,FDA has no questions (in PDF),,,,,,,,,,,,
gras_notices,Chymosin enzyme preparation produced by Aspergillus niger expressing a gene encoding chymosin from Erinaceus europaeus,,Intended for use as an enzyme at up to 0.97 mg Total Organic Solids (TOS)/kg milk in cheese and whey powder production.,,1195,Chymosin enzyme preparation produced by Aspergillus niger expressing a gene encoding chymosin from Erinaceus europaeus,Intended for use as an enzyme at up to 0.97 mg Total Organic Solids (TOS)/kg milk in cheese and whey powder production.,Scientific procedures,Chr. Hansen A/S,Boege Allé 10-12; Hoersholm 2970; Denmark,,GRN 1195 with amendments (in PDF),,,,,,,03/06/2025,07/03/2025,FDA has no questions (in PDF),,,,,,,,,,,,
