inventory,substance,cas,use,matched_nutrient_id,pack,score,alt_matches
indirect_additives,ISOPHTHALOYL CHLORIDE,99-63-8,,chloride,A,80,
indirect_additives,LIGNIN SODIUM SULFONATE,8061-51-6,,sodium,A,80,
indirect_additives,LINOLEAMIDE (LINOLEIC ACID AMIDE),3999-01-7,,linoleic_acid,A,100,
indirect_additives,MAGNESIUM,7439-95-4,,magnesium,A,80,
indirect_additives,MAGNESIUM CAPRATE,42966-30-3,,magnesium,A,80,
indirect_additives,MAGNESIUM CAPRYLATE,3386-57-0,,magnesium,A,80,
indirect_additives,MAGNESIUM CARBONATE,39409-82-0,,magnesium,A,80,
indirect_additives,MAGNESIUM CHLORIDE,7786-30-3,,chloride,A,80,magnesium(80)
indirect_additives,MAGNESIUM CITRATE,3344-18-1,,magnesium,A,80,
indirect_additives,MAGNESIUM DODECYLPHENOXYBENZENEDISULFONATE,977123-80-0,,magnesium,A,80,
indirect_additives,MAGNESIUM 2-ETHYLHEXOATE,15602-15-0,,magnesium,A,80,
indirect_additives,MAGNESIUM FLUORIDE,7783-40-6,,fluoride,A,80,magnesium(80)
indirect_additives,MAGNESIUM GLYCEROPHOSPHATE,927-20-8,,magnesium,A,80,
indirect_additives,MAGNESIUM HYDROXIDE,1309-42-8,,magnesium,A,80,
indirect_additives,MAGNESIUM ISODECANOATE,977176-02-5,,magnesium,A,80,
indirect_additives,MAGNESIUM LAURYL SULFATE,3097-08-3,,magnesium,A,80,
indirect_additives,MAGNESIUM LINOLEATE,5460-94-6,,magnesium,A,80,
indirect_additives,MAGNESIUM NAPHTHENATE,68424-71-5,,magnesium,A,80,
indirect_additives,MAGNESIUM NEODECANOATE,57453-97-1,,magnesium,A,80,
indirect_additives,MAGNESIUM NITRATE,10377-60-3,,magnesium,A,80,
indirect_additives,MAGNESIUM OLEATE,1555-53-9,,magnesium,A,80,
indirect_additives,MAGNESIUM OXIDE,1309-48-4,,magnesium,A,80,
indirect_additives,MAGNESIUM PALMITATE,2601-98-1,,magnesium,A,80,
indirect_additives,MAGNESIUM PHOSPHATE,10043-83-1,,magnesium,A,80,
indirect_additives,"MAGNESIUM PHOSPHATE, DIBASIC",7782-75-4,,magnesium,A,80,
indirect_additives,"MAGNESIUM PHOSPHATE, DIBASIC, ANHYDROUS",7757-86-0,,magnesium,A,80,
indirect_additives,"MAGNESIUM PHOSPHATE, TRIBASIC",7757-87-1,,magnesium,A,80,
indirect_additives,MAGNESIUM RICINOLEATE,22677-47-0,,magnesium,A,80,
indirect_additives,MAGNESIUM SALICYLATE,18917-89-0,,magnesium,A,80,
indirect_additives,MAGNESIUM SALTS OF FATTY ACIDS,977093-38-1,,magnesium,A,80,
indirect_additives,"MAGNESIUM SILICATE, SYNTHETIC",977150-11-0,,magnesium,A,80,
indirect_additives,MAGNESIUM STEARATE,557-04-0,,magnesium,A,80,
indirect_additives,"MALEIC ANHYDRIDE-DIISOBUTYLENE COPOLYMER, SODIUM SALT",37199-81-8,,sodium,A,80,
indirect_additives,MANGANESE,7439-96-5,,manganese,A,80,
indirect_additives,MANGANESE ACETATE,638-38-0,,manganese,A,80,
indirect_additives,MANGANESE AMMONIUM PYROPHOSPHATE,10101-66-3,,manganese,A,80,
indirect_additives,MANGANESE CAPRATE,10139-57-8,,manganese,A,80,
indirect_additives,MANGANESE CAPRYLATE,6535-19-9,,manganese,A,80,
indirect_additives,MANGANESE 2-ETHYLHEXOATE,15956-58-8,,manganese,A,80,
indirect_additives,MANGANESE ISODECANOATE,84962-57-2,,manganese,A,80,
indirect_additives,MANGANESE LINOLEATE,6904-78-5,,manganese,A,80,
indirect_additives,MANGANESE NAPHTHENATE,1336-93-2,,manganese,A,80,
indirect_additives,MANGANESE NEODECANOATE,27253-32-3,,manganese,A,80,
indirect_additives,MANGANESE OLEATE,19153-79-8,,manganese,A,80,
indirect_additives,MANGANESE PALMITATE,31678-63-4,,manganese,A,80,
indirect_additives,MANGANESE RICINOLEATE,29789-06-8,,manganese,A,80,
indirect_additives,MANGANESE STEARATE,10476-84-3,,manganese,A,80,
indirect_additives,MANGANESE TALLATE,8030-70-4,,manganese,A,80,
indirect_additives,"METHACRYLATE-CHROMIC CHLORIDE COMPLEX, ETHYL ESTER",977174-62-1,,chloride,A,80,
indirect_additives,"METHACRYLATE-CHROMIC CHLORIDE COMPLEX, METHYL ESTER",977174-63-2,,chloride,A,80,
indirect_additives,METHYLENE CHLORIDE,75-09-2,,chloride,A,80,
indirect_additives,2-METHYL-4-ISOTHIAZOLIN-3-ONE CALCIUM CHLORIDE,57373-20-3,,calcium,A,80,chloride(80)
indirect_additives,"METHYL NAPHTHALENE SULFONIC ACID-FORMALDEHYDE CONDENSATE, SODIUM SALT",9008-64-4,,sodium,A,80,
indirect_additives,"N-METHYL-N-(TALL OIL ACYL) TAURINE, SODIUM SALT",61791-41-1,,taurine,B,100,sodium(80)
indirect_additives,"METHYL TAURINE-OLEIC ACID CONDENSATE, MOLECULAR WEIGHT 486",97-80-3,,taurine,B,100,
indirect_additives,MINERAL REINFORCED NYLON RESINS,977170-13-0,,calcium,A,80,
indirect_additives,"MUSTARDSEED OIL, SULFATED, SODIUM SALT",61788-68-9,,sodium,A,80,
indirect_additives,MYRISTIC ACID-CHROMIC CHLORIDE COMPLEX,15659-56-0,,chloride,A,80,
indirect_additives,"NAPHTHALENE SULFONIC ACID-FORMALDEHYDE CONDENSATE, SODIUM SALT",9084-06-4,,sodium,A,80,
indirect_additives,"9-OCTADECANOIC ACID (Z)-, 2-MERCAPTOETHYL ESTER, REACTION PRODUCTSWITH DICHLORODIMETHYLSTANNANE, SODIUM SULFIDE (NA2S) AND TRICHLOROMETHYLSTANNANE",68442-12-6,,sodium,A,80,
indirect_additives,OCTADECYLAMMONIUM CHLORIDE,1838-08-0,,chloride,A,80,
indirect_additives,"OLEIC ACID, SULFATED, POTASSIUM SALT",68422-22-0,,potassium,A,80,
indirect_additives,"OLEIC ACID, SULFATED, SODIUM SALT",68331-91-9,,sodium,A,80,
indirect_additives,OXALIC ACID,144-62-7,,oxalate,B,100,
indirect_additives,"PALM OIL FATTY ACIDS, SODIUM SALT",61790-79-2,,sodium,A,80,
indirect_additives,"PEANUT OIL, SULFATED, SODIUM SALT",61789-58-0,,sodium,A,80,
indirect_additives,"PEG-40 TALLOW ALCOHOL SULFATE, SODIUM SALT",977140-16-1,,sodium,A,80,
indirect_additives,PHOSPHOROUS TRICHLORIDE,7719-12-2,,phosphorus,A,90,
indirect_additives,PHOSPHORUS PENTOXIDE,1314-56-3,,phosphorus,A,90,
indirect_additives,POLY(ACRYLAMIDE-(2-ACRYLAMIDE-2-METHYLPROPYLSULFONATE)-DIMETHYLDIALLYL AMMONIUM CHLORIDE) SODIUM SALT,72275-68-4,,chloride,A,80,sodium(80)
indirect_additives,POLY(ACRYLAMIDE-CO-ACRYLIC ACID-CO-DIALLYLDIMETHYLAMMONIUM CHLORIDE),25136-75-8,,chloride,A,80,
