_inventory,_substance,_other_names,_use,_cas,CAS Registry No. (or other ID),Substance,Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg01,Reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17,reg18,reg19,reg20,reg21,Reg prohibited189,regs Labeling-Standards,Other Names,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10,SYN11,SYN12,SYN13,SYN14,SYN15,SYN16,SYN17,SYN18,SYN19
indirect_additives,ACRYLAMIDE-ACRYLIC ACID RESIN,POLY(ACRYLAMIDE-CO-ACRYLIC ACID),,9003-06-9,9003-06-9,ACRYLAMIDE-ACRYLIC ACID RESIN,,,,,,,173.5,175.105,176.110,176.180,,,,,,,,,,,,,,,,,,,,POLY(ACRYLAMIDE-CO-ACRYLIC ACID),ACRYLAMIDE-ACRYLIC ACID COPOLYMER,ACRYLAMIDE-ACRYLIC ACID POLYMER,ACRYLAMIDE-ACRYLIC ACID RESIN,"ACRYLIC ACID, POLYMER WITH ACRYLAMIDE",HYDROLYZED POLYACRYLAMIDE,"POLYACRYLAMIDE, HYDROLYZED","POLYACRYLAMIDE, PARTIALLY HYDROLYZED",POLY(2-PROPENAMIDE-CO-2-PROPENOIC ACID),"2-PROPENOIC ACID, POLYMER WITH 2-PROPENAMIDE",2-PROPENAMIDE-2-PROPENOIC ACID POLYMER,"2-PROPENAMIDE, POLYMER WITH 2-PROPENOIC ACID",,,,,,,,
indirect_additives,ACRYLAMIDE-METHACRYLIC ACID-METHYL ACRYLATE POLYMER,POLY(ACRYLAMIDE-CO-METHACRYLIC ACID-CO-METHYL ACRYLATE),,51890-90-5,51890-90-5,ACRYLAMIDE-METHACRYLIC ACID-METHYL ACRYLATE POLYMER,,,,,,,175.105,176.170,,,,,,,,,,,,,,,,,,,,,,POLY(ACRYLAMIDE-CO-METHACRYLIC ACID-CO-METHYL ACRYLATE),ACRYLAMIDE-METHACRYLIC ACID-METHYL ACRYLATE COPOLYMER,POLY(METHYL 2-PROPENOATE-CO-2-METHYL-2-PROPENOIC ACID-CO-2-PROPENAMIDE),"2-PROPENOIC ACID, 2-METHYL-, POLYMER WITH METHYL 2-PROPENOATE AND 2-PROPENAMIDE",,,,,,,,,,,,,,,,
indirect_additives,ACRYLAMIDE POLYMER WITH SODIUM 2-ACRYLAMIDO-2-METHYLPROPANESULFONATE,POLY(ACRYLAMIDE-CO-SODIUM ACRYLAMIDOMETHYLPROPANESULFONATE),,38193-60-1,38193-60-1,ACRYLAMIDE POLYMER WITH SODIUM 2-ACRYLAMIDO-2-METHYLPROPANESULFONATE,,,,,,,176.180,,,,,,,,,,,,,,,,,,,,,,,POLY(ACRYLAMIDE-CO-SODIUM ACRYLAMIDOMETHYLPROPANESULFONATE),ACRYLAMIDE-SODIUM 2-ACRYLAMIDO-2-METHYLPROPANESULFONATE COPOLYMER,POLY(MONOSODIUM 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONATE-CO-2-PROPENAMIDE),"1-PROPANESULFONIC ACID, 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-, MONOSODIUM SALT, POLYMER WITH 2-PROPENAMIDE",,,,,,,,,,,,,,,,
indirect_additives,"2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID, HOMOPOLYMER, SODIUM SALT",POLY(SODIUM ACRYLAMIDOMETHYLPROPANESULFONATE),,35641-59-9,35641-59-9,"2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID, HOMOPOLYMER, SODIUM SALT",,,,,,,175.105,176.170,,,,,,,,,,,,,,,,,,,,,,POLY(SODIUM ACRYLAMIDOMETHYLPROPANESULFONATE),MONOSODIUM 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONATE HOMOPOLYMER,POLY(SODIUM 2-ACRYLAMIDO-2-METHYLPROPANESULFONATE),POLY(SODIUM 2-ACRYLAMIDO-2-METHYL-1-PROPANESULFONATE),SODIUM 2-ACRYLAMIDO-2-METHYLPROPANESULFONATE HOMOPOLYMER,"1-PROPANESULFONIC ACID, 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-, MONOSODIUM SALT, HOMOPOLYMER","2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID HOMOPOLYMER, SODIUM SALT",,,,,,,,,,,,,
indirect_additives,ACRYLIC ACID,ACRYLIC ACID,,79-10-7,79-10-7,ACRYLIC ACID,,,,,,,175.105,175.300,175.320,175.360,175.365,175.380,175.390,176.110,176.170,176.180,177.1010,177.1200,177.1210,177.1310,177.1500,177.1630,177.2260,178.3790,,,,,,ACRYLIC ACID,2-PROPENOIC ACID,"ACRYLIC ACID, GLACIAL",VINYLFORMIC ACID,ETHYLENECARBOXYLIC ACID,,,,,,,,,,,,,,,
indirect_additives,ACRYLIC ACID-2-ACRYLAMIDO-2-METHYL PROPANE SULFONIC ACID COPOLYMER,POLY(ACRYLAMIDOMETHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID),,40623-75-4,40623-75-4,ACRYLIC ACID-2-ACRYLAMIDO-2-METHYL PROPANE SULFONIC ACID COPOLYMER,,,,,,,173.310,176.170,,,,,,,,,,,,,,,,,,,,,,POLY(ACRYLAMIDOMETHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID),ACRYLIC ACID-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID COPOLYMER,POLY(2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID),POLY(ACRYLIC ACID-CO-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID),POLY(2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-CO-2-PROPENOIC ACID),"2-PROPENOIC ACID, POLYMER WITH 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID",2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-2-PROPENOIC ACID COPOLYMER,,,,,,,,,,,,,
indirect_additives,ACRYLIC ACID-BUTADIENE-2-HYDROXYETHYL ACRYLATE-STYRENE POLYMER,POLY(ACRYLIC ACID-CO-BUTADIENE-CO-2-HYDROXYETHYL ACRYLATE-CO-STYRENE),,35428-64-9,35428-64-9,ACRYLIC ACID-BUTADIENE-2-HYDROXYETHYL ACRYLATE-STYRENE POLYMER,,,,,,,175.105,176.170,176.180,,,,,,,,,,,,,,,,,,,,,POLY(ACRYLIC ACID-CO-BUTADIENE-CO-2-HYDROXYETHYL ACRYLATE-CO-STYRENE),ACRYLIC ACID-BUTADIENE-2-HYDROXYETHYL ACRYLATE-STYRENE POLYMER,"POLY(1,3-BUTADIENE-CO-ETHENYLBENZENE-CO-2-HYDROXYETHYL 2-PROPENOATE-CO-2-PROPENOIC ACID)","2-PROPENOIC ACID, POLYMER WITH 1,3-BUTADIENE, ETHENYLBENZENE AND 2-HYDROXYETHYL 2-PROPENOATE","1,3-BUTADIENE-ETHENYLBENZENE-2-HYDROXYETHYL 2-PROPENOATE-2-PROPENOIC ACID COPOLYMER",,,,,,,,,,,,,,,
indirect_additives,"ACRYLIC ACID-POLYETHYLENE GLYCOL ALLYL ETHER COPOLYMER, SODIUM SALT","POLY(ACRYLIC ACID-CO-PEG ALLYL ETHER), SODIUM SALT",,86830-15-1,86830-15-1,"ACRYLIC ACID-POLYETHYLENE GLYCOL ALLYL ETHER COPOLYMER, SODIUM SALT",,,,,,,176.170,,,,,,,,,,,,,,,,,,,,,,,"POLY(ACRYLIC ACID-CO-PEG ALLYL ETHER), SODIUM SALT","ACRYLIC ACID-POLYETHYLENE GLYCOL ALLYL ETHER COPOLYMER, SODIUM SALT","PEG ALLYL ETHER-ACRYLIC ACID COPOLYMER, SODIUM SALT","POLY(2-PROPENOIC ACID-CO-ALPHA-2-PROPENYL-OMEGA-HYDROXYPOLY(OXY-1,2-ETHANEDIYL)), SODIUM SALT","2-PROPENOIC ACID, POLYMER WITH ALPHA-2-PROPENYL-OMEGA-HYDROXYPOLY(OXY-1,2-ETHANEDIYL), SODIUM SALT",,,,,,,,,,,,,,,
indirect_additives,ACRYLIC COPOLYMER (CLASS),ACRYLIC COPOLYMER (CLASS),,977111-13-9,977111-13-9,ACRYLIC COPOLYMER (CLASS),,,,,,,176.170,176.180,177.1010,177.1630,,,,,,,,,,,,,,,,,,,,ACRYLIC COPOLYMER (CLASS),ACRYLATE COPOLYMER (CLASS),,,,,,,,,,,,,,,,,,
indirect_additives,"ACRYLIC PLASTIC, MODIFIED","ACRYLIC PLASTIC, MODIFIED",,977106-19-6,977106-19-6,"ACRYLIC PLASTIC, MODIFIED",,,,,,,176.170,177.1010,,,,,,,,,,,,,,,,,,,,,,"ACRYLIC PLASTIC, MODIFIED","ACRYLIC POLYMER, MODIFIED",,,,,,,,,,,,,,,,,,
indirect_additives,ACRYLONITRILE,ACRYLONITRILE,,107-13-1,107-13-1,ACRYLONITRILE,,,,,,,175.105,175.300,175.320,175.360,175.365,176.180,177.1010,177.1020,177.1030,177.1040,177.1050,177.1200,177.1480,177.1630,177.2260,177.2910,178.3790,180.22,181.32,,,,,ACRYLONITRILE,CYANOETHENE,CYANOETHYLENE,PROPENENITRILE,VINYL CYANIDE,2-PROPENENITRILE,ACRYLONITROGEN,,,,,,,,,,,,,
indirect_additives,ACRYLONITRILE-BUTADIENE-ETHYLENE GLYCOL DIMETHACRYLATE COPOLYMER,POLY(ACRYLONITRILE-CO-BUTADIENE-CO-ETHYLENE GLYCOL DIMETHACRYLATE),,68123-24-0,68123-24-0,ACRYLONITRILE-BUTADIENE-ETHYLENE GLYCOL DIMETHACRYLATE COPOLYMER,,,,,,,177.2600,,,,,,,,,,,,,,,,,,,,,,,POLY(ACRYLONITRILE-CO-BUTADIENE-CO-ETHYLENE GLYCOL DIMETHACRYLATE),BUTADIENE-ACRYLONITRILE-ETHYLENE GLYCOL DIMETHACRYLATE COPOLYMER,"POLY(1,3-BUTADIENE-CO-1,2-ETHANEDIYL 2-METHYL-2-PROPENOATE-CO-2-PROPENENITRILE)","2-PROPENOIC ACID, 2-METHYL-, 1,2-ETHANEDIYL ESTER, POLYMER WITH 1,3-BUTADIENE AND 2-PROPENENITRILE",,,,,,,,,,,,,,,,
indirect_additives,ACRYLONITRILE COPOLYMER,ACRYLONITRILE COPOLYMER (CLASS),,977146-28-3,977146-28-3,ACRYLONITRILE COPOLYMER,,,,,,,175.105,175.300,178.3790,179.45,180.22,,,,,,,,,,,,,,,,,,,ACRYLONITRILE COPOLYMER (CLASS),ACRYLONITRILE COPOLYMERS,POLY(ACRYLONITRILE) COPOLYMER,,,,,,,,,,,,,,,,,
indirect_additives,ACRYLONITRILE-ETHYL ACRYLATE-METHACRYLIC ACID COPOLYMER,POLY(ACRYLONITRILE-CO-ETHYL ACRYLATE-CO-METHACRYLIC ACID),,25052-74-8,25052-74-8,ACRYLONITRILE-ETHYL ACRYLATE-METHACRYLIC ACID COPOLYMER,,,,,,,175.105,176.170,,,,,,,,,,,,,,,,,,,,,,POLY(ACRYLONITRILE-CO-ETHYL ACRYLATE-CO-METHACRYLIC ACID),ACRYLONITRILE-ETHYL ACRYLATE-METHACRYLIC ACID COPOLYMER,"ACRYLIC ACID ETHYL ESTER, POLYMER WITH ACRYLONITRILE AND METHACRYLIC ACID",POLY(ETHYL 2-PROPENOATE-CO-2-METHYL-2-PROPENOIC ACID-CO-2-PROPENENITRILE),"2-PROPENOIC ACID, 2-METHYL-, POLYMER WITH ETHYL 2-PROPENOATE AND 2-PROPENENITRILE",,,,,,,,,,,,,,,
