_inventory,_substance,_other_names,_use,_cas,CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
food_substances,FERROUS SULFATE,"&diams; IRON(II) SULFATE HEPTAHYDRATE; &diams; COPPERAS; &diams; FERROUS SULFATE HEPTAHYDRATE; &diams; GREEN VITRIOL; &diams; IRON VITRIOL; &diams; IRON(2+) SULFATE HEPTAHYDRATE; &diams; MELANTERITE MINERAL; &diams; TAURISCITE MINERAL; &diams; SIDEROTIL MINERAL; &diams; SZOMOLNIKITE MINERAL; &diams; SULFURIC ACID, IRON(2+) SALT (1:1), HEPTAHYDRATE","NUTRIENT SUPPLEMENT,; PROCESSING AID,; STABILIZER OR THICKENER",7782-63-0,7782-63-0,FERROUS SULFATE,"&diams; IRON(II) SULFATE HEPTAHYDRATE; &diams; COPPERAS; &diams; FERROUS SULFATE HEPTAHYDRATE; &diams; GREEN VITRIOL; &diams; IRON VITRIOL; &diams; IRON(2+) SULFATE HEPTAHYDRATE; &diams; MELANTERITE MINERAL; &diams; TAURISCITE MINERAL; &diams; SIDEROTIL MINERAL; &diams; SZOMOLNIKITE MINERAL; &diams; SULFURIC ACID, IRON(2+) SALT (1:1), HEPTAHYDRATE","NUTRIENT SUPPLEMENT,; PROCESSING AID,; STABILIZER OR THICKENER",,,,,,,184.1315,,,,,,,,,,,,,,,,,,,,,,,,,,
food_substances,GARLIC,&diams; GARLIC; &diams; ALLIUM SATIVUM; &diams; AIL (ALLIUM SATIVUM),FLAVORING AGENT OR ADJUVANT,977001-81-2,977001-81-2,GARLIC,&diams; GARLIC; &diams; ALLIUM SATIVUM; &diams; AIL (ALLIUM SATIVUM),FLAVORING AGENT OR ADJUVANT,,,,,,,172.260,184.1317,,,,,,,,,,,,,,,,,,,,"101.22 , 139.110 , 139.150 , 155.194 , 155.200",,,,,
food_substances,"GARLIC, OIL (ALLIUM SATIVUM L.)","&diams; GARLIC OIL; &diams; OILS, GARLIC; &diams; ALLIUM SATIVUM OIL",FLAVORING AGENT OR ADJUVANT,8000-78-0,8000-78-0,"GARLIC, OIL (ALLIUM SATIVUM L.)","&diams; GARLIC OIL; &diams; OILS, GARLIC; &diams; ALLIUM SATIVUM OIL",FLAVORING AGENT OR ADJUVANT,,,,,,,184.1317,,,,,,,,,,,,,,,,,,,,,,2503,3,,,
food_substances,"GHATTI, GUM (ANOGEISSUS LATIFOLIA WALL.)",&diams; GHATTI GUM; &diams; INDIAN GUM; &diams; GUM GHATTI; &diams; ANOGEISSUS LATIFOLIA GUM,"EMULSIFIER OR EMULSIFIER SALT,; FLAVOR ENHANCER,; SOLVENT OR VEHICLE,; STABILIZER OR THICKENER",9000-28-6,9000-28-6,"GHATTI, GUM (ANOGEISSUS LATIFOLIA WALL.)",&diams; GHATTI GUM; &diams; INDIAN GUM; &diams; GUM GHATTI; &diams; ANOGEISSUS LATIFOLIA GUM,"EMULSIFIER OR EMULSIFIER SALT,; FLAVOR ENHANCER,; SOLVENT OR VEHICLE,; STABILIZER OR THICKENER",,,,,,,184.1333,,,,,,,,,,,,,,,,,,,,,,2519,3,,,
food_substances,GLYCERIN,"&diams; GLYCERIN; &diams; GLYCERINE; &diams; GLYCEROL; &diams; 1,2,3-PROPANETRIOL; &diams; GLYCYL ALCOHOL; &diams; 1,2,3-TRIHYDROXYPROPANE; &diams; PROPANETRIOL","ANTICAKING AGENT OR FREE-FLOW AGENT,; DRYING AGENT,; EMULSIFIER OR EMULSIFIER SALT,; HUMECTANT,; MASTICATORY SUBSTANCE,; NUTRITIVE SWEETENER,; SOLVENT OR VEHICLE,; STABILIZER OR THICKENER,; TEXTURIZER",56-81-5,56-81-5,GLYCERIN,"&diams; GLYCERIN; &diams; GLYCERINE; &diams; GLYCEROL; &diams; 1,2,3-PROPANETRIOL; &diams; GLYCYL ALCOHOL; &diams; 1,2,3-TRIHYDROXYPROPANE; &diams; PROPANETRIOL","ANTICAKING AGENT OR FREE-FLOW AGENT,; DRYING AGENT,; EMULSIFIER OR EMULSIFIER SALT,; HUMECTANT,; MASTICATORY SUBSTANCE,; NUTRITIVE SWEETENER,; SOLVENT OR VEHICLE,; STABILIZER OR THICKENER,; TEXTURIZER",,,,,,,172.811,175.300,175.320,176.210,177.1390,177.2420,177.2800,178.3500,182.1320,182.90,,,,,,,,,,,,169.175,2525,3,,,
food_substances,GLYCOCHOLIC ACID,"&diams; GLYCOCHOLIC ACID; &diams; N-CHOLOYLGLYCINE; &diams; GLYCINE, N-((3ALPHA,5BETA,7ALPHA,12ALPHA)-3,7,12-TRIHYDROXY-24-OXOCHOLAN-24-YL)-; &diams; N-((3ALPHA,5BETA,7ALPHA,12ALPHA)-3,7,12-TRIHYDROXY-24-OXOCHOLAN-24-YL)GLYCINE; &diams; GLYCINE, N-CHOLOYL-; &diams; N-(CARBOXYMETHYL)-3ALPHA,7ALPHA,12ALPHA-TRIHYDROXYGLYCINE CHOLATE",PH CONTROL AGENT,475-31-0,475-31-0,GLYCOCHOLIC ACID,"&diams; GLYCOCHOLIC ACID; &diams; N-CHOLOYLGLYCINE; &diams; GLYCINE, N-((3ALPHA,5BETA,7ALPHA,12ALPHA)-3,7,12-TRIHYDROXY-24-OXOCHOLAN-24-YL)-; &diams; N-((3ALPHA,5BETA,7ALPHA,12ALPHA)-3,7,12-TRIHYDROXY-24-OXOCHOLAN-24-YL)GLYCINE; &diams; GLYCINE, N-CHOLOYL-; &diams; N-(CARBOXYMETHYL)-3ALPHA,7ALPHA,12ALPHA-TRIHYDROXYGLYCINE CHOLATE",PH CONTROL AGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_substances,"GLYCYRRHIZIN, AMMONIATED (GLYCYRRHIZA SPP.)","&diams; GLYCYRRHIZIN, AMMONIATED; &diams; AMMONIUM GLYCYRRHIZINATE; &diams; AMMONIATED GLYCYRRHIZIN; &diams; ALPHA-D-GLUCOPYRANOSIDURONIC ACID, (3BETA,20BETA)-20-CARBOXY-11-OXO-30-NOROLEAN-12-EN-3-YL 2-O-BETA-D-GLUCOPYRANURONOSYL-, MONOAMMONIUM SALT; &diams; MONOAMMONIUM GLYCYRRHIZINATE; &diams; MONOAMMONIUM (3BETA,20BETA)-20-CARBOXY-11-OXO-30-NOROLEAN-12-EN-3-YL 2-O-BETA-D-GLUCOPYRANURONOSYL-ALPHA-D-GLUCOPYRANOSIDURONOATE",FLAVORING AGENT OR ADJUVANT,53956-04-0,53956-04-0,"GLYCYRRHIZIN, AMMONIATED (GLYCYRRHIZA SPP.)","&diams; GLYCYRRHIZIN, AMMONIATED; &diams; AMMONIUM GLYCYRRHIZINATE; &diams; AMMONIATED GLYCYRRHIZIN; &diams; ALPHA-D-GLUCOPYRANOSIDURONIC ACID, (3BETA,20BETA)-20-CARBOXY-11-OXO-30-NOROLEAN-12-EN-3-YL 2-O-BETA-D-GLUCOPYRANURONOSYL-, MONOAMMONIUM SALT; &diams; MONOAMMONIUM GLYCYRRHIZINATE; &diams; MONOAMMONIUM (3BETA,20BETA)-20-CARBOXY-11-OXO-30-NOROLEAN-12-EN-3-YL 2-O-BETA-D-GLUCOPYRANURONOSYL-ALPHA-D-GLUCOPYRANOSIDURONOATE",FLAVORING AGENT OR ADJUVANT,,,,,,,184.1408,,,,,,,,,,,,,,,,,,,,,,2528,3,,,
food_substances,"GUAR, GUM (CYAMOPSIS TETRAGONOLOBUS (L.))","&diams; GUAR GUM; &diams; GUM GUAR; &diams; GUAR FLOUR; &diams; FLOUR, GUAR; &diams; GUM CYAMOPSIS","ANTICAKING AGENT OR FREE-FLOW AGENT,; DRYING AGENT,; EMULSIFIER OR EMULSIFIER SALT,; FIRMING AGENT,; FLAVOR ENHANCER,; FORMULATION AID,; HUMECTANT,; STABILIZER OR THICKENER,; TEXTURIZER",9000-30-0,9000-30-0,"GUAR, GUM (CYAMOPSIS TETRAGONOLOBUS (L.))","&diams; GUAR GUM; &diams; GUM GUAR; &diams; GUAR FLOUR; &diams; FLOUR, GUAR; &diams; GUM CYAMOPSIS","ANTICAKING AGENT OR FREE-FLOW AGENT,; DRYING AGENT,; EMULSIFIER OR EMULSIFIER SALT,; FIRMING AGENT,; FLAVOR ENHANCER,; FORMULATION AID,; HUMECTANT,; STABILIZER OR THICKENER,; TEXTURIZER",,,,,,,184.1339,,,,,,,,,,,,,,,,,,,,,"133.124 , 133.178 , 133.179",2537,3,,,
food_substances,HELIUM,&diams; HELIUM,PROCESSING AID,7440-59-7,7440-59-7,HELIUM,&diams; HELIUM,PROCESSING AID,,,,,,,184.1355,,,,,,,,,,,,,,,,,,,,,,,,,,
food_substances,HYDROGEN PEROXIDE,&diams; HYDROGEN PEROXIDE; &diams; PEROXIDE; &diams; HYDROGEN PEROXIDE (H2O2),"ANTIMICROBIAL AGENT,; DOUGH STRENGTHENER,; FLOUR TREATING AGENT,; FUMIGANT,; OXIDIZING OR REDUCING AGENT",7722-84-1,7722-84-1,HYDROGEN PEROXIDE,&diams; HYDROGEN PEROXIDE; &diams; PEROXIDE; &diams; HYDROGEN PEROXIDE (H2O2),"ANTIMICROBIAL AGENT,; DOUGH STRENGTHENER,; FLOUR TREATING AGENT,; FUMIGANT,; OXIDIZING OR REDUCING AGENT",,,,,,,172.167,172.723,172.814,172.892,173.315,173.356,173.370,175.105,178.1005,178.1010,184.1366,,,,,,,,,,,"133.113 , 133.118 , 133.136 , 133.144 , 133.195 , 160.105 , 160.145 , 160.185",,,,,
