Downloaded from FDA GRAS Notices; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=GRASNotices; Last updated 7/31/2026; downloaded 8/2/2026.

GRAS Notice (GRN) No.,Substance,Intended Use,Basis,Notifier,Notifier Address,Date of filing,GRN Part 1,GRN Part 2,GRN Part 3,GRN Part 4,GRN Part 5,GRN Part 6,GRN Part 7,Date of closure,Date of correction letter,FDA's Letter,Date additional correspondence,Additional correspondence,Date additinoal correspondence 2,Additional correspondence 2,Date additional correspondence 3,Additional correspondence 3,Date additional correspondence 4,Additional correspondence 4,Resubmission,Resubmitted,Notes,Related submission
=T("1")," Soy isoflavone extract"," Ingredient in performance bars, mature adult meal replacements, and beverages at a level of 25 milligrams per serving"," Scientific procedures"," Archer Daniels Midland Company"," Box 1470; Decatur, IL 62525",02/10/1998," GRN 1 (in PDF)",,,,,,,11/03/1998,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("2")," Solin oil (low linolenic acid flaxseed oil or low linolenic acid linseed oil)"," Use as a general purpose cooking, frying, and salad oil; and as an ingredient in margarines, shortenings, and other food products"," Scientific procedures"," United Grain Growers Ltd."," TD Centre; 201 Portage Avenue; Box 6600; Winnipeg, Manitoba; CANADA R3C 3A7",02/11/1998," GRN 2 (in PDF)",,,,,,,05/27/1998,," FDA has no questions",,,,,,,,,,," Incorporates GRAS Affirmation Petition"," GRP 5G0416"
=T("3")," Sodium bisulfate"," Use in cake mixes as a pH control agent and a leavening agent at a level of 0.1 to 1.0 percent by weight; use in foods in general as a pH control agent and processing aid at levels not to exceed good manufacturing practices"," Scientific procedures"," Jones Hamilton Co."," 30354 Tracy Road; Walbridge, OH 43465",02/26/1998," GRN 3 (in PDF)",,,,,,,06/05/1998,," FDA has no questions",,,,,,,,,,,,
=T("4")," Transglutaminase from <i>Streptoverticillium mobaraense</i>"," Use in processed seafood as a crosslinking agent at levels not to exceed 65 parts per million"," Scientific procedures"," Ajinomoto USA"," 1120 Connecticut Ave., NW; Suite 416; Washington, DC 20036",03/04/1998," GRN 4 (in PDF)",,,,,,,06/22/1998,," FDA has no questions",,,,,,,,,,,,
=T("5")," Tasteless smoke"," Use in red-meat seafoods such as tuna and salmon to preserve the taste, aroma, and color"," Common use in food"," Hawaii International Seafood Inc."," Honolulu International Airport; P.O. Box 30486; Honolulu, HI 96820",04/29/1998," GRN 5 (in PDF)",,,,,,,11/09/1998,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("15"),,
=T("6")," Dioctyl sodium sulfosuccinate"," Use in carbonated and non-carbonated soft drinks as a wetting agent or solubilizer for flavor emulsion stabilizers at levels up to 10 parts per million of the finished beverage"," Scientific procedures"," Cytec Industries, Inc."," Five Garret Mountain Plaza; West Paterson, NJ 07424",07/21/1998," GRN 6 (in PDF)",,,,,,,12/28/1998,," FDA has no questions",,,,,,,,,,,,
=T("7")," ARASCO (arachidonic acid-rich single-cell oil) and DHASCO (docosahexaenoic acid-rich single-cell oil) as sources of the fatty acids ARA (arachidonic acid) and DHA (docosahexaenoic acid)"," ARASCO as a source of ARA and DHASCO as a source of DHA in infant formula"," Scientific procedures"," Wyeth Nutritionals International"," 145 King of Prussia Road; Radnor, PA 19087",09/01/1998," GRN 7 (in PDF)",,,,,,,03/04/1999,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,=T("41"),,
=T("8")," Pectin esterase derived from <i>Aspergillus oryzae</i> carrying a gene encoding pectin esterase from <i>Aspergillus aculeatus</i>"," Use in fruit and vegetable products as a processing aid at minimal level needed to accomplish the intended technical effect"," Scientific procedures"," Novo Nordisk"," 77 Perry Chapel Church Road; Box 576; Franklinton, NC 27525-0576",10/14/1998," GRN 8 (in PDF)",,,,,,,03/02/1999,," FDA has no questions",,,,,,,,,,,,
=T("9")," Polyglycerol polyricinoleic acid"," Use in chocolate as an emulsifier at a level up to 0.3 percent"," Scientific procedures"," Quest International"," 5115 Sedge Blvd.; Hoffman Estates, IL 60192",10/22/1998," GRN 9 (in PDF)",,,,,,,03/02/1999,04/02/1999," FDA has no questions",,,,,,,,,,,,
=T("10")," Exopeptidase derived from <i>Aspergillus oryzae</i> carrying a gene encoding a leucine aminopeptidase from <i>Aspergillus sojae</i>"," Use as a food processing aid at a level ranging from 0.2 to 0.8 percent"," Scientific procedures"," Rohm Enzyme Finland Oy"," Tykkimaentie 15; 05200 Rajamaki; FINLAND",10/28/1998," GRN 10 (in PDF)",,,,,,,01/29/1999,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,,,
=T("11")," Calcium casein peptone-calcium phosphate"," Use in chewing gum as a texturizer at a use level of up to 5 percent wt/wt"," Scientific procedures"," Bonlac Foods Limited"," P.O. Box 4313 Melbourne; Victoria, AUSTRALIA 3001",11/23/1998," GRN 11 (in PDF)",,,,,,,01/29/1999,," FDA has no questions",,,,,,,,,,,,
=T("12")," Mesquite wood alcoholic extract"," Use in several food categories, including alcoholic beverages, as a flavor"," Common use in food"," Givaudan Roure Flavors"," 1199 Edison Drive; Cincinnati, OH 45216",12/30/1998," GRN 12 (in PDF)",,,,,,,03/11/1999,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("18"),,
=T("13")," Botanicals: Chrysanthemum; Licorice; Jellywort AND<br /> Honeysuckle; Lophatherum; Mulberry leaf; Frangipani; Selfheal; Sophora flower bud"," Use in herbal tea as a flavor"," Common use in food"," Vitasoy International Holdings Ltd."," 1, Kin Wong Street; Tuen Mun, New Territories; HONG KONG",01/11/1999," GRN 13 (in PDF)",,,,,,,06/02/1999,," Notice does not provide a basis AND<br />FDA has no questions",,,,,,,,,,," Notice only provided basis for subset of notified ingredients",
=T("14")," Hydrogen peroxide"," Use in the manufacture of dehydrated onions as a processing aid to extend their shelf life"," Scientific procedures"," Basic Vegetable Products"," 700 Airport Drive; King City, CA 93930",02/17/1999," GRN 14 (in PDF)",,,,,,,05/26/1999,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,,,
=T("15")," Tasteless smoke"," Use in raw tuna, before it is frozen, to preserve its taste, aroma, texture and color at levels sufficient to accomplish this purpose"," Scientific procedures"," Hawaii International Seafood Inc."," Honolulu International Airport; P.O. Box 30486; Honolulu, HI 96820",03/17/1999," GRN 15 (in PDF)",,,,,,,03/10/2000,," FDA has no questions",,,,,,,,,=T("5"),,,
=T("16")," Menhaden oil"," Use in a variety of foods as a source of fat at levels ranging from 0.5 to 12 percent by weight"," Scientific procedures"," BASF Corporation"," 3000 Continental Drive North; Mount Olive, NJ 07828-1234",03/11/1999," GRN 16 (in PDF)",,,,,,,06/08/1999,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("17")," Arabinogalactan"," Use in foods in general for multiple technical effects"," Scientific procedures"," Larex, Inc."," 2852 Patton Road; St. Paul, MN 55113",03/11/1999," GRN 17 (in PDF)",,,,,,,04/11/2000,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("47"),,
=T("18")," Mesquite (<i>Prosopis</i> spp.) wood alcoholic extract"," Use in distilled spirits as a flavor at a use level of one pound per 400 wine gallons"," Scientific procedures"," Givaudan Roure Flavors"," 1199 Edison Drive; Cincinnati, OH 45216",03/12/1999," GRN 18 (in PDF)",,,,,,,05/12/1999,," FDA has no questions",,,,,,,,,=T("12"),,,
=T("19")," Ferrous bisglycinate chelate"," Use in foods in general as a source of dietary iron for food enrichment and fortification purposes consistent with iron supplementation guidelines"," Scientific procedures"," Albion Laboratories, Inc."," P.O. Box 750; 101 North Main St.; Clearfield, UT 84015-2243",04/22/1999," GRN 19 (in PDF)",,,,,,,09/30/1999,," FDA has no questions",,,,,,,,,,,,
=T("20")," Pullulanase derived from <i>Bacillus subtilis</i> carrying a gene encoding pullulanase from <i>Bacillus naganoensis</i>"," Use in hydrolyzing starch and starch-related compounds in the production of corn sweeteners, baked goods, and alcoholic beverages at minimum levels necessary to accomplish the intended effect in accordance with current good manufacturing practices"," Scientific procedures"," Enzyme Bio-Systems Ltd."," Enzyme Bio-Systems Ltd.; 2600 Kennedy Drive; Beloit, WI 53511-3992",04/22/1999," GRN 20 (in PDF)",,,,,,,09/30/1999,," FDA has no questions",,,,,,,,,,,,
=T("21")," Pork collagen"," Use in meat products as a binder and purge reducing agent at levels of 1.0 to 3.5 percent"," Scientific procedures"," AMPC, Inc."," 2325 North Loop Drive; Ames, IA 50010",04/26/1999," GRN 21 (in PDF)",,,,,,,07/29/1999,," FDA has no questions",,,,,,,,,,,,
=T("22")," alpha-Amylase derived from <i>Bacillus licheniformis</i> carrying a gene encoding a modified alpha-amylase derived from <i>Bacillus lichenformis</i> and <i>Bacillus amyloliquefaciens</i>"," Use in the starch industry (for the liquefaction of starch in the production of syrups), and in the alcohol industry (for the thinning of starch in distilling mashes) as a processing aid at minimum levels necessary to accomplish the intended technical effect in accordance with current good manufacturing practices"," Scientific procedures"," Novo Nordisk"," 77 Perry Chapel Church Rd., Box 576; Franklinton, NC 27525",05/24/1999," GRN 22 (in PDF)",,,,,,,12/29/1999,," FDA has no questions",,,,,,,,,,,,
=T("23")," Protein preparation from animal blood"," Use in foods in general, including meat products, to provide protein nutritional value"," Scientific procedures"," Desanguination Products, LLC"," 2613 Newcomb Street; Lubbock, TX 79415",06/04/1999," GRN 23 (in PDF)",,,,,,,08/02/1999,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("24")," alpha-Amylase derived from <i>Bacillus licheniformis</i> carrying a gene encoding alpha-amylase from <i>Bacillus stearothermophilus</i>"," Use in the starch industry (for the liquefaction of starch in the production of syrups) and in the alcohol industry (for the thinning of starch in distilling mashes) as a processing aid at minimum levels necessary to accomplish the intended technical effect in accordance with current good manufacturing practices"," Scientific procedures"," Novo Nordisk"," 77 Perry Chapel Church Rd., Box 576; Franklinton, NC 27525",06/07/1999," GRN 24 (in PDF)",,,,,,,05/15/2000,," FDA has no questions",,,,,,,,,,,,
=T("25")," Extract of <i>Garcinia kola</i> seed (""bitter cola"")"," Use in an alcoholic beverage as a flavor enhancer"," Scientific procedures"," Pharaoh Palmier"," 155 Wilson St.; Albany, CA 94710",06/25/1999," GRN 25 (in PDF)",,,,,,,10/12/1999,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,,,
=T("26")," Isolated wheat protein"," Use in powdered shortenings in baked goods, milk-like beverages, beverage whiteners, cheese analogues, meat and fish products, cooked meats, soups, sauces and marinades, mousses and meringues, edible films and coatings for various technical effects at levels ranging from 1 to 50 grams per kilogram"," Scientific procedures"," Manildra Group"," The Crescent; Auburn; Sydney, NSW 2144 AUSTRALIA",07/08/1999," GRN 26 (in PDF)",,,,,,,12/16/1999,," FDA has no questions",,,,,,,,,,,,
=T("27")," Dextranase from <i>Chaetomium gracile</i>"," Use in cane and beet sugar as a processing aid"," Scientific procedures"," Sankyo Co., Ltd."," 7-12, Ginza 2-ChomeChuo-ku; Tokyo 104-8113; JAPAN",07/14/1999," GRN 27 (in PDF)",,,,,,,12/16/1999,," FDA has no questions",,,,,,,,,,," Incorporates GRAS Affirmation Petition"," GRP 6G0420"
=T("28")," Seaweed-derived calcium"," Use in foods in general as a source of dietary calcium for food enrichment and fortification purposes at various levels that range up to 4.0 percent"," Scientific procedures"," Marigot Ltd./Celtic Sea Minerals"," Strand Farm; Currabinny; Carrigaline, Co. Cork; IRELAND",07/28/1999," GRN 28 (in PDF)",,,,,,,04/21/2000,," FDA has no questions",03/19/2014," Additional correspondence about intended uses",03/27/2007," Additional corresopndence about intended uses",,,,,,,,
=T("29")," Transglutaminase from <i>Streptoverticillium mobaraense</i>"," Use in processed cheeses, natural hard cheeses (domestic), cream cheese, refrigerated yogurt, frozen desserts, and vegetable protein dishes/vegeburgers/meat substitutes as a crosslinking agent at varying levels"," Scientific procedures"," Ajinomoto USA"," 1120 Connecticut Ave, NW; Suite 416; Washington, DC 20036",07/28/1999," GRN 29 (in PDF)",,,,,,,12/29/1999,," FDA has no questions",,,,,,,,,,,,
=T("30")," Crospovidone-cranberry juice extract"," Ingredient in foods and beverages"," Scientific procedures"," ShanStar Biotech, Inc."," P.O. Box 10; Chadwick Bay, NY 14048",08/03/1999," GRN 30 part 1 (in PDF)"," GRN 30 part 2 (in PDF)",,,,,,12/20/1999,," Notice does not provide a basis for a GRAS determination",02/20/2001," Additional correspondence that does not provide a basis for a GRAS determination",,,,,,,,,,
=T("31")," Cetylpyridinium chloride"," Use on raw and fully cooked foods including, poultry, red meat, fish and shellfish, eggs, fruits, vegetables, cereal grains, nutmeats, and dairy products as an antimicrobial agent at levels not to exceed 1.0 percent"," Scientific procedures"," Safe Foods Corporation"," 1505 Rebsamen Park Road; Little Rock, AR 72202",09/20/1999," GRN 31 (in PDF)",,,,,,,01/10/2000,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("38"),,
=T("32")," Pectin lyase derived from <i>Trichoderma reesei</i> carrying a gene encoding pectin lyase from <i>Aspergillus niger</i>"," Use in the preparation of fruit and vegetable juices, purees, and concentrates as a processing aid at levels ranging from 5 to 100 parts per million to accomplish the intended technical effect in accordance with current good manufacturing practices"," Scientific procedures"," Rohm Enzyme GmbH"," Kirschenallee 45; D-64293 Darmstadt, GERMANY",10/14/1999," GRN 32 (in PDF)",,,,,,,04/20/2000,," FDA has no questions",,,,,,,,,,,,
=T("33")," Low erucic acid oil derived from <i>Brassica juncea</i>"," Use in food processing, in the manufacture of margarines and shortenings, and as a salad and frying oil"," Scientific procedures"," Canola Council of Canada"," 400-167 Lombard Avenue; Winnipeg, Manitoba; CANADA R3B 0T6",10/22/1999," GRN 33 (in PDF)",,,,,,,01/27/2000,," FDA has no questions",,,,,,,,,,,,
=T("34")," Aspartic proteinase derived from <i>Aspergillus oryzae</i> carrying a gene encoding aspartic proteinase from <i>Rhizomucor miehei</i>"," Use in meat as a tenderizing agent at minimum levels necessary to accomplish the intended technical effect in accordance with current good manufacturing practices"," Scientific procedures"," Novo Nordisk"," 77 Perry Chapel Church Rd., Box 576; Franklinton, NC 27525",11/17/1999," GRN 34 (in PDF)",,,,,,,04/19/2000,," FDA has no questions",,,,,,,,,,,,
=T("35")," Hempseed oil"," Use in food as a flavoring agent, adjuvant solvent, vehicle, stabilizer, thickener, emulsifier, or texturizer at the minimum required to produce the intended technical effect"," Common use in food"," Consolidated Growers and Processors, Inc."," P.O. Box 2228; Monterey, CA 93942",11/17/1999," GRN 35 (in PDF)",,,,,,,08/24/2000,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,,,
=T("36")," Chromium picolinate; <i>Ginkgo biloba</i> leaf extract; and Ginseng extract"," Ingredients in non-carbonated beverage or tea"," Scientific procedures"," Vancol Industries, Inc."," 1700 E. 68th Ave; Denver, CO 80229",01/03/2000," GRN 36 (in PDF)",,,,,,,04/10/2000,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("37")," Whey protein isolate and dairy product solids"," Whey protein isolate - use in foods in general, including meat, for multiple technical effects; dairy product solids - use in foods in general, including alcohol, for multiple technical effects"," Scientific procedures"," American Dairy Products Institute"," 300 West Washington Street #400; Chicago, IL 60606",01/14/2000," GRN 37 (in PDF)",,,,,,,04/21/2000,," FDA has no questions",01/30/2001," Additional correspondence clarifying the term ""dairy product solids""",,,,,,,,," Incorporates GRAS Affirmation Petition"," GRP 1G0371"
=T("38")," Cetylpyridinium chloride"," Use on the outside surface of raw and fully cooked meat and poultry products as an antimicrobial agent at a level not to exceed 1.0 percent"," Scientific procedures"," Safe Foods Corporation"," 1505 Rebsamen Park Road; Little Rock, AR 72202",01/19/2000," GRN 38 (in PDF)",,,,,,,02/29/2000,," Notice does not provide a basis for a GRAS determination",,,,,,,,,=T("31"),," Resubmitted as"," FAP 6A4767"
=T("39")," Tall oil phytosterols"," Ingredient in vegetable oil spreads at a level up to 12 percent free phytosterols"," Scientific procedures"," Novartis Consumer Health, Inc."," 560 Morris Avenue; Summit, NJ 07901",01/28/2000," GRN 39 (in PDF)",,,,,,,04/24/2000,," FDA has no questions",11/02/2000," Additional correspondence clarifying intended use",,,,,,,,,,
=T("40")," Mineral oil"," Use on food processing equipment as a sprayed release agent resulting in a presence on food at no more than 5 parts per million"," Common use in food"," American Ingredients Company"," 3947 Broadway; Kansas City, MO 64111",02/28/2000," GRN 40 (in PDF)",,,,,,,12/11/2000,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,=T("71"),,
=T("41")," DHASCO (docosahexaenoic acid-rich single-cell oil) and ARASCO (arachidonic acid-rich single-cell oil)"," Provide DHASCO (as a source of docosahexaenoic acid) and ARASCO (as a source of arachidonic acid) in term infant formula, at a maximum level of 1.25 percent each of the total dietary fat and at a ratio ranging from 1:1 to 1:2 (DHASCO:ARASCO)"," Scientific procedures"," Martek Biosciences Corporation"," 6480 Dobbin Road; Columbia, MD 21045",03/01/2000," GRN 41 (in PDF)",,,,,,,05/17/2001,," FDA has no questions",,,,,,,,,=T("7"),,,
=T("42")," Milk-derived lactoferrin"," Ingredient in sports and functional foods"," Scientific procedures"," DMV International"," 1712 Deltown Plaza; Fraser, NY 13753",04/10/2000," GRN 42 (in PDF)",,,,,,,03/26/2001,," Notice does not provide a basis for a GRAS determination",04/23/2001," Additional correspondence clarifying the appropriate mechanism to ""supplement"" a notice after FDA has responded to that notice",,,,,,,,=T("77"),,
=T("43")," Lipase derived from <i>Aspergillus oryzae</i> carrying a gene encoding lipase from <i>Thermomyces lanuginosus</i>"," Use in dough, baked goods, and the fats and oil industry as a processing aid for the interesterification or hydrolysis of glycerides at minimum levels necessary to achieve the desired effect; use as an enzyme in brewing beer (per additional correspondence of April 21, 2010)"," Scientific procedures"," Novo Nordisk"," 77 Perry Chapel Church Road; Box 576; Franklinton, NC 27525",04/28/2000," GRN 43 (in PDF)",,,,,,,09/22/2000,," FDA has no questions",04/21/2010," Additional correspondence about intended use",,,,,,,,,,
=T("44")," Fructooligosaccharide"," Intended for use as an ingredient in foods in general, excluding meat and poultry products and infant formula, at levels up to 20 grams (g) per day in the general population and at levels up to 4.2 g per day in infants less than one year of age."," Scientific procedures"," GTC Nutrition Company"," 14252 W. 44th Ave.; Unit F; Golden, CO 80403",05/02/2000," GRN 44 (in PDF)",,,,,,,11/22/2000,," FDA has no questions",06/01/2007," Additional correspondence about intended uses",,,,,,,,,,
=T("45")," Trehalose"," Use in foods in general, including meat products, for multiple technical effects at levels in accordance with good manufacturing practice"," Scientific procedures"," Hayashibara International Inc."," 8670 Wolff Court; Suite 200; Westminster, CO 80030",05/17/2000," GRN 45 (in PDF)",,,,,,,10/05/2000,," FDA has no questions",,,,,,,,,,,,
=T("46")," Gamma cyclodextrin"," Use in bread spreads, frozen dairy desserts, ready-to-eat dairy desserts, desserts prepared from dry mixes, fruit fillings, cheese and cream fillings, and chewing gum as a stabilizer, emulsifier, carrier and formulation aid at varying levels"," Scientific procedures"," Wacker Biochem Corp."," 3301 Sutton Road; Adrian, MI 49221",05/22/2000," GRN 46 (in PDF)",,,,,,,09/22/2000,," FDA has no questions",,,,,,,,,,,,
=T("47")," Arabinogalactan from <i>Larix occidentalis</i>"," Use in foods in general, including meat products, for multiple technical effects"," Scientific procedures"," Larex Inc."," 4815 White Bear Lake Parkway; White Bear Lake, MN 55110",05/30/2000," GRN 47 (in PDF)",,,,,,,06/06/2000,," FDA has no questions",,,,,,,,,=T("17"),,,
=T("48")," Vegetable oil phytosterol esters"," Ingredient in vegetable oil spread, dressings for salad, bars, and yogurt"," Scientific procedures"," Cargill Inc."," 15407 McGinty Road West, MS110; Wayzata, MN 55391",06/02/2000," GRN 48 (in PDF)",,,,,,,11/27/2000,," FDA has no questions",,,,,,,,,,,,
=T("49")," <i>Bifidobacterium lactis</i> strain Bb12 and <i>Streptococcus thermophilus</i> strain Th4"," Ingredients in milk-based infant formula that is intended for consumption by infants four months and older, at levels not to exceed good manufacturing practice"," Scientific procedures"," Nestle USA"," 800 North Brand Boulevard; Glendale, CA 91203",06/14/2000," GRN 49 part 1 (in PDF)"," GRN 49 part 2 with amendments (in PDF)",,,,,,03/19/2002,," FDA has no questions",11/28/2005," Additional correspondence clarifying new information on <i>B. lactis</i> strain Bb12",,,,,,,,,,
=T("50")," Bohenin"," Use in chocolate and chocolate coatings as a tempering aid and anti-bloom agent at a level not to exceed 5 percent by weight of the total fat"," Scientific procedures"," Fuji Oil Co., Ltd."," Hannan R&D Center; 1 Sumiyoshi-cho; Izumisano-shi Osaka 598-8540; JAPAN",06/20/2000," GRN 50 (in PDF)",,,,,,,08/31/2000,," FDA has no questions",,,,,,,,,,," Incorporates GRAS Affirmation Petition"," GRP 4G0407"
=T("51")," Cassia gum from <i>Cassia tora/obtusifolia</i>"," Use in foods in general in accordance with good manufacturing practice"," Scientific procedures"," B.F. Goodrich"," Performance Materials; Food & Beverage Ingredients Division; 2235 Langdon Farm Road; Cincinnati, OH 45237",06/23/2000," GRN 51 (in PDF)",,,,,,,02/27/2001,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("139"),,
=T("52")," Whey mineral concentrate"," Use in beverages, foods, and dairy products as a source of calcium at levels consistent with current calcium supplementation guidelines"," Scientific procedures"," Glanbia Ingredients, Inc."," 523 6th Street; Monroe, WI 53566",06/27/2000," GRN 52 (in PDF)",,,,,,,01/30/2001,," FDA has no questions",,,,,,,,,,,,
=T("53")," Phytosterol esters"," Ingredient in vegetable oil, at a level up to 13.3 percent by weight, for home use applications such as baking, frying, and salad dressings"," Scientific procedures"," Procter & Gamble Company"," Winton Hill Technical Center; 6071 Center Hill Avenue; Cincinnati, OH 45224",07/24/2000," GRN 53 (in PDF)",,,,,,,12/20/2000,," FDA has no questions",,,,,,,,,,,,
=T("54")," Xylanase derived from <i>Fusarium venenatum</i> carrying a gene encoding xylanase from <i>Thermomyces lanuginosus</i>"," Use in the baking industry as a processing aid at minimum levels necessary in accordance with good manufacturing practices"," Scientific procedures"," Novo Nordisk"," 77 Perry Chapel Church Road; Box 576; Franklinton, NC 27525",07/28/2000," GRN 54 (in PDF)",,,,,,,02/23/2001,," FDA has no questions",,,,,,,,,,,,
=T("55")," Transglutaminase from <i>Streptoverticillium mobaraense</i>"," Use in pasta, bread, pastries, ready to eat cereal products, pizza dough, and grain mixtures as a crosslinking agent at varying levels"," Scientific procedures"," Ajinomoto USA"," 1120 Connecticut Ave, NW; Suite 416; Washington, DC 20036",08/08/2000," GRN 55 (in PDF)",,,,,,,01/30/2001,," FDA has no questions",,,,,,,,,,,,
=T("56")," Diacylglycerol oil"," Substitute for vegetable oils"," Scientific procedures"," Kao Corporation"," 1-3, Bunka 2-chome; Tokyo 131 8501, JAPAN",08/11/2000," GRN 56 (in PDF)",,,,,,,12/04/2000,," FDA has no questions",,,,,,,,,,,,
=T("57")," Argon gas"," Use in wines, fruit juices and vegetable juices to replace the normal air atmosphere in sealed containers"," Scientific procedures"," Permafresh Corporation"," 8911 Osuna Road NE; Albuquerque, NM 87111",09/08/2000," GRN 57 (in PDF)",,,,,,,11/02/2000,," FDA has no questions",,,,,,,,,,,,
=T("58")," Gum arabic"," Use in creamers for alcoholic beverages as a thickener, emulsifier or stabilizer at levels not to exceed 20 percent by weight of the alcoholic beverage"," Scientific procedures"," Kerry Ingredients"," 352 East Grand Avenue; Beloit, WI 53511",09/25/2000," GRN 58 (in PDF)",,,,,,,09/10/2001,10/01/2001," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,," Incorporates Food Additive Petition"," FAP 1A4730"
=T("59")," Hydrogenated starch hydrolysate"," Use in foods in general as a flavoring agent, adjuvant, formulation aid, humectant, processing aid, stabilizer, thickener, surface-finishing agent, or texturizer at levels not to exceed good manufacturing practice"," Scientific procedures"," Grain Processing Corporation"," 1600 Oregon Street; Muscatine, IA 52761",10/04/2000," GRN 59 (in PDF)",,,,,,,09/24/2001,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("60")," Potassium bisulfate"," Use in cake mixes as a pH control agent and leavening agent at a level of 0.1 to 1.0 percent by weight; use in foods in general as a pH control agent and processing aid at levels not to exceed good manufacturing practices"," Scientific procedures"," Jones-Hamilton Company"," 30354 Tracy Road; Walbridge, OH 43465",10/31/2000," GRN 60 (in PDF)",,,,,,,01/19/2001,," FDA has no questions",,,,,,,,,,,,
=T("61")," Plant sterols/Plant sterol esters"," Plant sterols as an ingredient in vegetable oil spreads, dressings for salad, health drinks, health bars, yogurt-type products at a level of 1 gram per serving; and as a raw material in the manufacture of plant sterol esters for use as an ingredient in the same foods at a level of 1.65 grams (i.e., 1 gram sterol equivalent) per serving"," Scientific procedures"," Archer Daniels Midland Company"," 1001 North Brush College Road; Decatur, IL 62521",11/27/2000," GRN 61 (in PDF)",,,,,,,04/18/2001,," FDA has no questions",,,,,,,,,,,,
=T("62")," Chlorine dioxide generated from particles (&lt;30&mu;m) composed of sodium polyphosphate, magnesium sulfate, sodium silicate and sodium chlorite that are incorporated into low density polyethylene (LDPE) food-packaging films, at levels not exceeding 17.5 micrograms chlorite/in<sup>2</sup> of finished package film."," Use for packaging meats, poultry and seafood that will be cooked prior to being consumed, and for packaging fresh fruits and vegetables and foods in transit or storage from producers to processors, or institutional users, that will be washed with a potable water rinse and further processed before being consumed, to extend the shelf life and extend the freshness of the contained foods; Use for fresh pasta products that will be cooked prior to being consumed, and for prepared dough products that will be baked, or otherwise cooked, prior to being consumed"," Scientific procedures"," Bernard Technologies, Inc."," 919 North Michigan Avenue; Chicago, IL 60611",12/04/2000," GRN 62 part 1 (in PDF)"," GRN 62 part 2 with amendments (in PDF)",,,,,,06/19/2001,," FDA has no questions",08/20/2003," Additional correspondence about intended uses",,,,,,,,,,
=T("63")," Hops beta acids"," Use on casings for frankfurters and on cooked meat and poultry products as an antimicrobial agent"," Scientific procedures"," Rhodia, Inc."," CN 7500; 259 Prospect Plains Road; Cranbury, NJ 08512",12/20/2000," GRN 63 (in PDF)",,,,,,,03/15/2001,," FDA has no questions",,,,,,,,,,,,
=T("64")," Egg white lysozyme"," Use on casings for frankfurters and on cooked meat and poultry products as an antimicrobial agent"," Scientific procedures"," Rhodia, Inc."," CN 7500; 259 Prospect Plains Road; Cranbury, NJ 08512",12/20/2000," GRN 64 (in PDF)",,,,,,,04/02/2001,," FDA has no questions",,,,,,,,,,,,
=T("65")," Nisin"," Use on casings for frankfurters and on cooked meat and poultry products as an antimicrobial agent"," Scientific procedures"," Rhodia, Inc."," CN 7500; 259 Prospect Plains Road; Cranbury, NJ 08512",12/20/2000," GRN 65 (in PDF)",,,,,,,04/20/2001,," FDA has no questions",,,,,,,,,,,,
=T("66")," Milk thistle extract"," Use in a malt-based beverage as a bittering agent"," Scientific procedures"," JHB Inc."," 26216 Alizia Cyn. Drive; Calabasas, CA 91302",01/03/2001," GRN 66 (in PDF)",,,,,,,04/23/2001,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,,,
=T("67")," Milk-derived lactoferrin"," Use on uncooked beef as an antimicrobial agent at a level not to exceed 2 percent"," Scientific procedures"," Farmland National Packaging Company, L.P."," 1501 East 8th Street; Liberal, KS 67905",01/09/2001," GRN 67 (in PDF)",,,,,,,10/23/2001,," FDA has no questions",,,,,,,,,,,,
=T("68")," Lipase from <i>Penicillium camembertii</i>"," Use on fats and oils to produce fatty acids or glycerides at a level up to one percent of the weight of the fat or oil"," Scientific procedures"," Amano Enzyme Inc."," 2-7, 1-Chome, Nishiki; Naka-ku, Nagoya 460, JAPAN",01/31/2001," GRN 68 (in PDF)",,,,,,,05/29/2001,," FDA has no questions",,,,,,,,,,,,
