Downloaded from FDA Inventory of Food Contact Substances Listed in 21 CFR; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=IndirectAdditives; Last updated 5/4/2026; downloaded 8/2/2026.

"Consult the regulation(s) cited to see if your substance is authorized for your intended use."

CAS Registry No. (or other ID),Substance,Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg01,Reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17,reg18,reg19,reg20,reg21,Reg prohibited189,regs Labeling-Standards,Other Names,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10,SYN11,SYN12,SYN13,SYN14,SYN15,SYN16,SYN17,SYN18,SYN19
" 9003-06-9"," ACRYLAMIDE-ACRYLIC ACID RESIN",,,,,,,=T("173.5"),=T("175.105"),=T("176.110"),=T("176.180"),,,,,,,,,,,,,,,,,,,," POLY(ACRYLAMIDE-CO-ACRYLIC ACID)"," ACRYLAMIDE-ACRYLIC ACID COPOLYMER"," ACRYLAMIDE-ACRYLIC ACID POLYMER"," ACRYLAMIDE-ACRYLIC ACID RESIN"," ACRYLIC ACID, POLYMER WITH ACRYLAMIDE"," HYDROLYZED POLYACRYLAMIDE"," POLYACRYLAMIDE, HYDROLYZED"," POLYACRYLAMIDE, PARTIALLY HYDROLYZED"," POLY(2-PROPENAMIDE-CO-2-PROPENOIC ACID)"," 2-PROPENOIC ACID, POLYMER WITH 2-PROPENAMIDE"," 2-PROPENAMIDE-2-PROPENOIC ACID POLYMER"," 2-PROPENAMIDE, POLYMER WITH 2-PROPENOIC ACID",,,,,,,,
" 51890-90-5"," ACRYLAMIDE-METHACRYLIC ACID-METHYL ACRYLATE POLYMER",,,,,,,=T("175.105"),=T("176.170"),,,,,,,,,,,,,,,,,,,,,," POLY(ACRYLAMIDE-CO-METHACRYLIC ACID-CO-METHYL ACRYLATE)"," ACRYLAMIDE-METHACRYLIC ACID-METHYL ACRYLATE COPOLYMER"," POLY(METHYL 2-PROPENOATE-CO-2-METHYL-2-PROPENOIC ACID-CO-2-PROPENAMIDE)"," 2-PROPENOIC ACID, 2-METHYL-, POLYMER WITH METHYL 2-PROPENOATE AND 2-PROPENAMIDE",,,,,,,,,,,,,,,,
" 38193-60-1"," ACRYLAMIDE POLYMER WITH SODIUM 2-ACRYLAMIDO-2-METHYLPROPANESULFONATE",,,,,,,=T("176.180"),,,,,,,,,,,,,,,,,,,,,,," POLY(ACRYLAMIDE-CO-SODIUM ACRYLAMIDOMETHYLPROPANESULFONATE)"," ACRYLAMIDE-SODIUM 2-ACRYLAMIDO-2-METHYLPROPANESULFONATE COPOLYMER"," POLY(MONOSODIUM 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONATE-CO-2-PROPENAMIDE)"," 1-PROPANESULFONIC ACID, 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-, MONOSODIUM SALT, POLYMER WITH 2-PROPENAMIDE",,,,,,,,,,,,,,,,
" 35641-59-9"," 2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID, HOMOPOLYMER, SODIUM SALT",,,,,,,=T("175.105"),=T("176.170"),,,,,,,,,,,,,,,,,,,,,," POLY(SODIUM ACRYLAMIDOMETHYLPROPANESULFONATE)"," MONOSODIUM 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONATE HOMOPOLYMER"," POLY(SODIUM 2-ACRYLAMIDO-2-METHYLPROPANESULFONATE)"," POLY(SODIUM 2-ACRYLAMIDO-2-METHYL-1-PROPANESULFONATE)"," SODIUM 2-ACRYLAMIDO-2-METHYLPROPANESULFONATE HOMOPOLYMER"," 1-PROPANESULFONIC ACID, 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-, MONOSODIUM SALT, HOMOPOLYMER"," 2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID HOMOPOLYMER, SODIUM SALT",,,,,,,,,,,,,
" 79-10-7"," ACRYLIC ACID",,,,,,,=T("175.105"),=T("175.300"),=T("175.320"),=T("175.360"),=T("175.365"),=T("175.380"),=T("175.390"),=T("176.110"),=T("176.170"),=T("176.180"),=T("177.1010"),=T("177.1200"),=T("177.1210"),=T("177.1310"),=T("177.1500"),=T("177.1630"),=T("177.2260"),=T("178.3790"),,,,,," ACRYLIC ACID"," 2-PROPENOIC ACID"," ACRYLIC ACID, GLACIAL"," VINYLFORMIC ACID"," ETHYLENECARBOXYLIC ACID",,,,,,,,,,,,,,,
" 40623-75-4"," ACRYLIC ACID-2-ACRYLAMIDO-2-METHYL PROPANE SULFONIC ACID COPOLYMER",,,,,,,=T("173.310"),=T("176.170"),,,,,,,,,,,,,,,,,,,,,," POLY(ACRYLAMIDOMETHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID)"," ACRYLIC ACID-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID COPOLYMER"," POLY(2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID)"," POLY(ACRYLIC ACID-CO-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID)"," POLY(2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-CO-2-PROPENOIC ACID)"," 2-PROPENOIC ACID, POLYMER WITH 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID"," 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-2-PROPENOIC ACID COPOLYMER",,,,,,,,,,,,,
" 35428-64-9"," ACRYLIC ACID-BUTADIENE-2-HYDROXYETHYL ACRYLATE-STYRENE POLYMER",,,,,,,=T("175.105"),=T("176.170"),=T("176.180"),,,,,,,,,,,,,,,,,,,,," POLY(ACRYLIC ACID-CO-BUTADIENE-CO-2-HYDROXYETHYL ACRYLATE-CO-STYRENE)"," ACRYLIC ACID-BUTADIENE-2-HYDROXYETHYL ACRYLATE-STYRENE POLYMER"," POLY(1,3-BUTADIENE-CO-ETHENYLBENZENE-CO-2-HYDROXYETHYL 2-PROPENOATE-CO-2-PROPENOIC ACID)"," 2-PROPENOIC ACID, POLYMER WITH 1,3-BUTADIENE, ETHENYLBENZENE AND 2-HYDROXYETHYL 2-PROPENOATE"," 1,3-BUTADIENE-ETHENYLBENZENE-2-HYDROXYETHYL 2-PROPENOATE-2-PROPENOIC ACID COPOLYMER",,,,,,,,,,,,,,,
" 86830-15-1"," ACRYLIC ACID-POLYETHYLENE GLYCOL ALLYL ETHER COPOLYMER, SODIUM SALT",,,,,,,=T("176.170"),,,,,,,,,,,,,,,,,,,,,,," POLY(ACRYLIC ACID-CO-PEG ALLYL ETHER), SODIUM SALT"," ACRYLIC ACID-POLYETHYLENE GLYCOL ALLYL ETHER COPOLYMER, SODIUM SALT"," PEG ALLYL ETHER-ACRYLIC ACID COPOLYMER, SODIUM SALT"," POLY(2-PROPENOIC ACID-CO-ALPHA-2-PROPENYL-OMEGA-HYDROXYPOLY(OXY-1,2-ETHANEDIYL)), SODIUM SALT"," 2-PROPENOIC ACID, POLYMER WITH ALPHA-2-PROPENYL-OMEGA-HYDROXYPOLY(OXY-1,2-ETHANEDIYL), SODIUM SALT",,,,,,,,,,,,,,,
" 977111-13-9"," ACRYLIC COPOLYMER (CLASS)",,,,,,,=T("176.170"),=T("176.180"),=T("177.1010"),=T("177.1630"),,,,,,,,,,,,,,,,,,,," ACRYLIC COPOLYMER (CLASS)"," ACRYLATE COPOLYMER (CLASS)",,,,,,,,,,,,,,,,,,
" 977106-19-6"," ACRYLIC PLASTIC, MODIFIED",,,,,,,=T("176.170"),=T("177.1010"),,,,,,,,,,,,,,,,,,,,,," ACRYLIC PLASTIC, MODIFIED"," ACRYLIC POLYMER, MODIFIED",,,,,,,,,,,,,,,,,,
